Classification Level,Count
Lachnospiraceae,81830
Pasteurellaceae,18965
Yersiniaceae,13413
Helicobacteraceae,2309
Nannocystaceae,217
Caldicellulosiraptoraceae,648
Pseudomonadaceae,54440
Staphylococcaceae,142438
Micrococcaceae,21494
Actinomarinaceae,1955
Streptomycetaceae,23686
Enterobacteriaceae,83741
Prevotellaceae,24507
Bacteroidaceae,38678
Propionibacteriaceae,62769
Streptococcaceae,80184
Microbacteriaceae,12920
Prolixibacteraceae,16664
Bacillaceae,80911
Actinomycetaceae,6931
Oscillospiraceae,10941
Desulfatiglandaceae,1515
Rhodobacteraceae,21199
Neisseriaceae,17132
Gemellaceae,6319
Weeksellaceae,14473
Mycobacteriaceae,13282
Rhodanobacteraceae,2488
Erysipelatoclostridiaceae,3517
Moraxellaceae,37924
Family XI,12802
Lactobacillaceae,40576
Planococcaceae,7361
Morganellaceae,6107
Clostridiaceae,13784
Corynebacteriaceae,74331
Rhizobiaceae,23127
Sphingomonadaceae,16255
Comamonadaceae,40780
Marinobacteraceae,2651
Dietziaceae,1144
Acidithiobacillaceae,1821
Campylobacteraceae,5045
Desulfococcaceae,3829
Flavobacteriaceae,21698
Carnobacteriaceae,9800
Synergistaceae,2610
Micromonosporaceae,4671
Veillonellaceae,11073
Crocinitomicaceae,863
Tannerellaceae,3838
Hyphomicrobiaceae,1691
Bifidobacteriaceae,3283
Coleofasciculaceae,4435
Cryomorphaceae,1556
Vibrionaceae,16274
Beijerinckiaceae,6190
Acholeplasmataceae,4769
Euzebyaceae,179
Dysgonomonadaceae,1921
Leptospiraceae,2019
Akkermansiaceae,2135
Rikenellaceae,8771
Bryobacteraceae,1599
Spirochaetaceae,12751
Listeriaceae,3831
Ruminococcaceae,23294
Saprospiraceae,5280
Thermoactinomycetaceae,561
Burkholderiaceae,24762
Fusobacteriaceae,10389
Chromobacteriaceae,982
Chlamydiaceae,967
Xanthomonadaceae,13955
Desulfobulbaceae,733
Aneurinibacillaceae,301
Caloramatoraceae,634
Peptostreptococcaceae,10012
Acidaminococcaceae,2029
