Classification Level,Count
Streptococcus,75361
Salmonella,13712
Arthrobacter,3391
Clade Ia,5887
Pseudobutyrivibrio,314
Bacillus,67032
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,8200
Streptomyces,23042
Micrococcus,3137
Geobacillus,3703
Sphaerochaeta,359
Staphylococcus,140858
Enterobacter,11048
Escherichia-Shigella,34830
Alistipes,2557
Tuzzerella,83
Clostridioides,2788
Christensenellaceae R-7 group,4544
Ureaplasma,1308
Family XIII AD3011 group,413
Pseudomonas,53933
hgcI clade,1388
Selenomonas,1670
Calothrix UAM 374,17
Otariodibacter,923
Idiomarina,904
Coleofasciculus PCC-7420,4133
Lachnoclostridium,6142
Lysinibacillus,2951
UCG-005,2689
Thiocapsa,50
Aggregatibacter,1335
Acinetobacter,22909
Moraxella,7160
Chthoniobacter,482
Lactobacillus,11042
Dolosigranulum,3464
Gemella,6319
Neisseria,12181
Bradyrhizobium,5359
Veillonella,7396
Nitrospira,1531
Blautia,9896
Oscillochloris,10
[Ruminococcus] gnavus group,1967
Mucilaginibacter,848
Steroidobacter,883
Prevotella_9,6021
Caproiciproducens,187
Prevotella,8864
Nocardia,2132
WCHB1-32,15528
Capnocytophaga,2650
RB41,1261
Romboutsia,2143
Roseimicrobium,71
Barnesiella,750
Chryseolinea,711
Sulfurovum,2721
Enterococcus,15539
Clostridium sensu stricto 1,9255
Dorea,1830
Burkholderia-Caballeronia-Paraburkholderia,14767
Buchnera,548
Bacteroides,38678
Sva0081 sediment group,468
Candidatus Solibacter,1137
Campylobacter,5045
Fusicatenibacter,1447
Treponema,3617
Sporosarcina,905
Rhodovulum,219
Helicobacter,2111
Haemophilus,9676
Candidatus Actinomarina,1955
Pseudarthrobacter,2203
Serratia,11040
Lachnospiraceae UCG-004,506
Desulfovibrio,1979
Delftia,2907
Tessaracoccus,293
Streptosporangium,1344
Paenibacillus,7574
Nubsella,43
Ochrobactrum,2122
Diaphorobacter,7183
Aerococcus,3699
Nitrobacter,128
Caldicellulosiruptor,648
Roseospirillum,15
Dickeya,536
Weissella,2558
Acidithiobacillus,1340
Rikenellaceae RC9 gut group,3809
Sulfuritalea,566
Terriglobus,91
Limosilactobacillus,4939
Ralstonia,3361
Catonella,202
Prevotellaceae UCG-004,150
Coprothermobacter,379
Klebsiella,15270
Thiobacillus,703
Limnobacter,1917
ESFC-1,104
Pedobacter,1247
Sulfurimonas,1437
Vibrio,13551
Anaerococcus,4981
Prochlorococcus MIT9313,2237
Subgroup 10,663
Fenollaria,596
Nesterenkonia,229
Celeribacter,143
Nibribacter,29
Halomonas,5565
Actinomyces,5778
Marinobacter,2651
Mycoplasma,2416
Spirochaeta,2373
Terrisporobacter,708
Alloprevotella,3140
Ruminococcus,4772
Family XIII UCG-001,79
Brucella,1588
Bergeyella,1397
Acetomicrobium,111
Erysipelotrichaceae UCG-003,878
Salinibacter,4139
Erythrobacter,1067
Puniceicoccus,864
Turicella,419
Microcystis PCC-7914,811
Aurantimicrobium,94
Thiohalophilus,110
Proteus,1402
Algoriphagus,357
Prevotella_7,4117
Spiroplasma,468
Puia,151
Pasteurella,722
Aeromonas,7060
Rhodobacter,784
Oligella,87
Bryobacter,1599
Lysobacter,1802
Novosphingobium,2228
Roseburia,6107
Synechococcus CC9902,1987
Thauera,966
Kosakonia,969
Pir4 lineage,1541
Collinsella,1671
Ensifer,2400
Nodularia PCC-9350,177
Herbaspirillum,617
Porphyromonas,5316
Sediminispirochaeta,737
Hymenobacter,1553
Lacticaseibacillus,3189
Tyzzerella,1671
Cobetia,375
Duganella,328
Zoogloea,741
Anoxybacillus,5390
Legionella,1735
Finegoldia,1797
Proteiniphilum,760
Erysipelotrichaceae UCG-006,94
Listeria,3548
Clostridium sensu stricto 12,565
Prevotellaceae UCG-001,750
Lachnospiraceae FCS020 group,313
Achromobacter,2382
Stenotrophomonas,6771
Brevundimonas,3160
Sphingomonas,6754
Flexibacter,20
mle1-7,122
Nonomuraea,1462
Colwellia,908
Kribbella,219
Saccharofermentans,545
AqS1,152
Coxiella,627
Caldanaerobacter,103
W5053,217
Schleiferia,133
BD1-7 clade,320
Hyphomonas,800
Comamonas,2650
Levilactobacillus,1122
Shewanella,3016
Sphingobium,2131
Thermopetrobacter,21
Luteibacter,516
Psychrobacter,4434
Epulopiscium,1285
Akkermansia,2135
Rhodoferax,1247
Mastigocladopsis PCC-10914,77
Curvibacter,452
Marinomonas,527
Phaeodactylibacter,1549
Thermomonas,560
endosymbionts,327
Acidovorax,6262
Sodalis,210
Methyloversatilis,278
Lachnospiraceae NC2004 group,212
Candidatus Phytoplasma,4139
Sphaerisporangium,107
Myxococcus,491
Pseudoalteromonas,5416
Lawsonella,5886
Cronobacter,1192
Zymomonas,125
Desulfonema,1673
UCG-012,739
Crossiella,726
Lutibacter,132
Arachidicoccus,82
Kozakia,20
Roseivivax,992
Enhydrobacter,2452
Limibaculum,276
Granulicatella,3729
Rubrobacter,466
Slackia,234
Actinobacillus,3613
Lachnospira,830
Flavisolibacter,327
SUP05 cluster,2847
Marinifilum,1305
Sulfitobacter,1257
Phormidesmis ANT.L52.6,44
Lentimicrobium,845
Holdemanella,1082
Rhodovibrio,60
Tissierella,377
Desulfotomaculum,149
Paracoccus,2641
Actinotalea,62
Ferruginibacter,831
Phreatobacter,216
Caulobacter,756
Massilia,4254
Dellaglioa,11
Thermoflavifilum,24
Peptoniphilus,2576
Roseomonas,1100
Pantoea,5444
Lewinella,492
Alcanivorax,1858
Termite Treponema cluster,578
Rothia,6607
Deinococcus,1075
Snodgrassella,479
Oceanisphaera,136
P3OB-42,526
Rhodococcus,3824
Spirochaeta 2,2010
Leeuwenhoekiella,95
Actinoplanes,362
Planktomarina,1670
Rickettsiella,118
Olleya,135
Paraclostridium,572
Gilliamella,525
Nitrosococcus,31
Porphyrobacter,323
Microvirga,372
Lachnospiraceae NK4A136 group,9752
Kineococcus,112
Ferritrophicum,265
Nitrosomonas,818
Polaribacter,722
Litoricola,98
Chitinophaga,528
Providencia,1322
Sutterella,1323
Rodentibacter,427
Desulfomicrobium,293
Denitratisoma,189
Lactiplantibacillus,5901
Desulforhopalus,712
Microterricola,16
[Ruminococcus] gauvreauii group,777
Francisella,586
Pseudohongiella,572
OM43 clade,782
Brachyspira,684
Isoptericola,170
OM60(NOR5) clade,710
Agathobacter,4322
Companilactobacillus,553
Ciceribacter,72
Muribacter,111
Paenarthrobacter,791
Dongia,481
Desulfotalea,33
CAG-352,261
Borrelia,455
Desulfovermiculus,949
Catellicoccus,136
Leptolinea,242
Phaeobacter,362
Micromonospora,2766
Candidatus Thiosymbion,108
Alcaligenes,1445
Catabacter,33
Lachnospiraceae NK3A20 group,1414
Buttiauxella,259
Aestuariibacter,234
Noviherbaspirillum,823
Tannerella,366
Trichococcus,478
Variovorax,1711
Leptotrichia,2229
Latilactobacillus,947
UCG-002,1816
Tenacibaculum,745
Paenisporosarcina,212
[Ruminococcus] torques group,3394
Methylocystis,199
Pluralibacter,91
Mesorhizobium,3172
Parabacteroides,3159
Kocuria,3354
Yersinia,1827
OM27 clade,729
Sporocytophaga,56
Secundilactobacillus,112
Parasutterella,789
Helcococcus,235
Sumerlaea,614
Rhizobacter,541
Salegentibacter,193
Megamonas,489
GCA-900066575,314
Formosa,436
CL500-29 marine group,702
MB11C04 marine group,191
Mucispirillum,215
Dichotomicrobium,746
RS62 marine group,261
Coprococcus,1430
Phocoenobacter,912
Paeniclostridium,831
Candidatus Cloacimonas,444
Kluyvera,449
JGI-0000079-D21,110
Clostridium sensu stricto 11,336
Arcicella,330
Endozoicomonas,1426
Cryomorpha,322
Kangiella,73
Megasphaera,796
Luteimonas,991
MSBL3,153
Polynucleobacter,1356
Kingella,949
Xylella,273
SEEP-SRB1,762
Janibacter,1006
Caminicella,84
Ktedonobacter,44
Lentimonas,520
Petrotoga,32
Prevotellaceae YAB2003 group,24
Alkalimonas,28
Leptospira,1241
Anaplasma,798
Iamia,365
Cupriavidus,1521
Yokenella,153
Syntrophus,797
Dolichospermum NIES41,373
Clade Ib,1064
Pyramidobacter,139
Truepera,551
Xanthomonas,2038
Plesiomonas,504
Lawsonia,15
Citrobacter,3705
Alteromonas,2056
Moritella,175
LS-NOB,283
Thalassospira,522
Hungateiclostridium,194
Elizabethkingia,458
Marinicella,100
Virgibacillus,772
Raoultella,742
Atopobium,729
OLB8,51
Planococcus,772
Ligilactobacillus,2144
Komagataeibacter,630
Sphingopyxis,718
Varibaculum,199
W5,273
Dialister,2670
Pediococcus,1432
Lacunisphaera,243
Tateyamaria,150
Lautropia,1344
Sphaerotilus,242
Salinivibrio,295
Aneurinibacillus,301
Pseudochelatococcus,205
Bordetella,2396
Eoetvoesia,26
Roseateles,279
Clostridium sensu stricto 7,270
Methylonatrum,22
Psychrobacillus,211
Lentilactobacillus,1071
Caminibacter,46
MND1,485
Acidiphilium,423
Leucobacter,606
Subtercola,51
Tetrasphaera,360
Verminephrobacter,149
Neorickettsia,100
A2,517
LD29,130
Thermobrachium,296
Candidatus Bealeia,10
Morganella,794
Oenococcus,241
Acetobacter,1204
Howardella,76
Clostridium sensu stricto 13,468
Candidatus Liberibacter,171
Rheinheimera,663
Rhodanobacter,664
Candidatus Competibacter,251
Nocardioides,1943
Sulfurihydrogenibium,308
Defluviitoga,260
Hydrogenobaculum,327
Chlamydia,924
NS4 marine group,619
Methylocella,67
Desulfobacca,107
Amphiplicatus,66
Lactococcus,4773
Desulfonatronum,33
Pseudonocardia,1083
Blastocatella,255
Arcobacter,436
Ferrimonas,95
Roseovarius,765
ADurb.Bin120,197
Candidatus Omnitrophus,506
Thiothrix,1034
Inquilinus,108
Anaerostipes,2277
Nautella,106
Candidatus Magnetoglobus,33
Bosea,626
Ilumatobacter,296
Nannocystis,118
Candidatus Accumulibacter,441
Dokdonia,181
Yaniella,32
Leptothrix,276
Faecalibaculum,2016
Candidimonas,46
Fischerella PCC-9339,249
Salinicola,351
Desulfovirga,21
Myroides,321
Fermentimonas,333
Dietzia,1144
Candidatus Planktophila,134
Leuconostoc,3311
Subdoligranulum,2666
Leisingera,119
Oceanicaulis,200
Incertae Sedis,1418
Asticcacaulis,149
Pandoraea,272
Heliobacillus,10
TM7a,320
Kaistia,72
Woeseia,1045
Chromohalobacter,312
Brevibacillus,1881
Marvinbryantia,493
Nitratifractor,140
Psychroflexus,317
Paeniglutamicibacter,245
Halochromatium,354
Pirellula,749
Parvimonas,702
Acidaminococcus,252
Rhodobaculum,69
NS5 marine group,1303
Sarcina,800
Peptoclostridium,738
Candidatus Scalindua,266
Pseudarcicella,264
Ketobacter,85
Gordonia,1590
Polaromonas,905
TM7x,282
Sphaerospermopsis BCCUSP55,121
Monoglobus,661
Sva0996 marine group,929
Ruminiclostridium,376
Cylindrospermopsis CRJ1,262
Leptococcus JA-3-3Ab,49
Paraprevotella,125
Alkalibacillus,70
Erysipelotrichaceae UCG-002,129
Cyanobium PCC-6307,989
Gemmatimonas,389
Pseudaminobacter,150
Robiginitalea,137
Oscillibacter,1006
Sporomusa,123
Limnohabitans,1311
Thermoflexus,86
Solitalea,173
Dyadobacter,270
Hydrogenophaga,1038
DMER64,843
Edwardsiella,493
Aquicella,245
Nostoc PCC-73102,627
Anaerotruncus,278
Afipia,377
Halanaerobium,371
Apilactobacillus,859
CK06-06-Mud-MAS4B-21,28
Cellulophaga,197
HIMB11,337
Intestinibacter,926
NS10 marine group,163
Parapusillimonas,141
Erysipelatoclostridium,916
IMCC26207,126
Opitutus,312
Paenochrobactrum,25
Psychromonas,173
Marmoricola,204
Pseudovibrio,360
Lachnospiraceae UCG-001,1367
Desulfocapsa,387
Lachnospiraceae XPB1014 group,650
Arenibacter,169
Dyella,317
Desulfosarcina,80
Caldora VP642b,30
Rhodopseudomonas,498
Rhodopirellula,919
Odoribacter,805
Candidatus Armantifilum,55
Marinoscillum,298
Citrifermentans,320
Thermus,492
Simplicispira,202
Flavonifractor,502
Rosenbergiella,169
Hahella,76
Desulfatiglans,1515
Demequina,95
Devosia,1133
Abiotrophia,764
Alloiococcus,358
Candidatus Ovatusbacter,51
Dielma,121
Nocardiopsis,1308
Allisonella,27
Agromyces,458
Promicromonospora,216
wb1-P19,255
Eremococcus,107
Fructilactobacillus,161
S5-A14a,112
Acidibacter,486
Flexilinea,76
Litorilinea,49
Desulfomonile,365
Peptococcus,151
HSB OF53-F07,40
Deferrisoma,32
Haematobacter,465
Salinicoccus,207
Candidatus Stammerula,42
Gimesia,41
Arthrospira PCC-7345,239
Succiniclasticum,471
GCA-900066755,17
NK4A214 group,1342
Mariniflexile,15
Malaciobacter,119
Maritimimonas,487
Hungatella,430
Yoonia-Loktanella,434
Methylophilus,419
Nordella,125
Nostoc PCC-7524,178
Blastococcus,268
UCG-004,652
Glutamicibacter,975
Jonquetella,45
Terribacillus,133
Lachnospiraceae ND3007 group,700
Thiomicrorhabdus,359
Thiopseudomonas,82
Desulfallas-Sporotomaculum,94
Pelomonas,593
IS-44,222
Chryseomicrobium,85
Centipeda,26
Asaia,512
Bilophila,139
Tepidisphaera,32
Streptacidiphilus,131
Cellulomonas,477
Leptolyngbya ANT.L52.2,56
Halobacillus,824
Azospira,333
Ellin6055,162
Candidatus Ancillula,48
Sideroxydans,332
Dechlorobacter,56
Acholeplasma,473
SM1A02,549
Ornithinicoccus,56
Azotobacter,354
Leptospirillum,677
Thermotomaculum,10
Luteolibacter,388
Acidiferrobacter,42
Candidatus Midichloria,14
Candidatus Latescibacter,167
Reinekea,121
Roseobacter clade NAC11-7 lineage,202
MSBL7,90
Globicatella,177
Solibacillus,487
Wolbachia,1244
Pseudophaeobacter,194
Rahnella1,507
Kushneria,65
Candidatus Planktoluna,43
Gulosibacter,20
SAR92 clade,378
Ruegeria,690
Clostridium sensu stricto 2,85
Eikenella,223
Defluviitaleaceae UCG-011,247
Kytococcus,106
Congregibacter,35
Planomicrobium,681
Leifsonia,359
Thermobifida,143
Butyrivibrio,909
Amylibacter,989
R76-B128,172
Muricauda,281
Glaciimonas,43
CAG-56,204
Alsobacter,26
Pseudoclavibacter,276
Smithella,302
Azonexus,493
Candidatus Methylopumilus,356
Bhargavaea,123
Cephaloticoccus,92
[Aquaspirillum] arcticum group,35
Pajaroellobacter,210
Urania-1B-19 marine sediment group,158
Aquibacter,180
BIyi10,115
Oscillospira,79
Pseudolabrys,321
Candidatus Marithioploca,16
Psychroserpens,80
Lachnoanaerobaculum,400
Clostridium sensu stricto 18,754
Verticiella,96
Verruc-01,270
Aureimonas,348
Paraglaciecola,247
Starkeya,63
Salipaludibacillus,180
Fastidiosipila,1188
Salinispora,436
Thalassotalea,180
Pseudofulvibacter,831
Dechloromonas,808
Alicyclobacillus,627
Tsukamurella,264
Candidatus Paceibacter,12
Prevotellaceae NK3B31 group,325
Pleurocapsa PCC-7319,75
Ferrovibrio,70
possible genus 05,84
Lachnospiraceae UCG-009,38
Psychrilyobacter,90
Candidatus Methylomirabilis,100
Pannonibacter,87
Colidextribacter,970
Actinopolyspora,96
Mesonia,57
Camelimonas,19
Haliangium,800
Pseudothermotoga,60
Clavibacter,323
Pseudochrobactrum,206
Clostridium sensu stricto 6,56
Nodosilinea PCC-7104,216
