Classification Level,Count
Proteobacteria,564212
Desulfobacterota,21390
Firmicutes,621728
Planctomycetota,11334
Actinobacteriota,269611
Bacteroidota,180063
Verrucomicrobiota,11025
Fusobacteriota,13446
Campylobacterota,15096
Cyanobacteria,22484
Spirochaetota,15532
Deinococcota,2645
Halanaerobiaeota,548
Synergistota,2610
Myxococcota,4128
Acidobacteriota,8944
Fibrobacterota,740
Chloroflexi,8587
Gemmatimonadota,2257
Bdellovibrionota,2288
Deferribacterota,420
Nitrospirota,2346
Aquificota,1024
Patescibacteria,846
Sumerlaeota,614
Cloacimonadota,737
Methylomirabilota,267
Nitrospinota,705
Thermotogota,976
Elusimicrobiota,385
Calditrichota,199
Abditibacteriota,240
Entotheonellaeota,89
Caldatribacteriota,117
Armatimonadota,91
Latescibacterota,167
Chrysiogenetota,13
Hydrogenedentes,102
Caldisericota,43
Coprothermobacterota,379
Dictyoglomota,20
Deferrisomatota,32
Thermodesulfobiota,14
