Classification Level,Count
Verrucomicrobiales,3386
Bacillales,89027
Lactobacillales,155708
Gemmatales,1150
Bacteroidales,108815
Campylobacterales,14928
Corynebacteriales,96902
Peptostreptococcales-Tissierellales,26931
Kosmotogales,175
Xanthomonadales,16443
Enterobacterales,173466
Burkholderiales,119165
Rhizobiales,45154
Pseudomonadales,116015
Flavobacteriales,39639
Lachnospirales,82131
Chlamydiales,1322
Leptolyngbyales,2720
Chthoniobacterales,1435
Pirellulales,5701
Synechococcales,5379
Fusobacteriales,13446
Rhodobacterales,21199
Acholeplasmatales,4769
Staphylococcales,148757
Micrococcales,42368
Christensenellales,4827
Gammaproteobacteria Incertae Sedis,1527
Clostridiales,14501
Cardiobacteriales,2033
Actinomycetales,6979
Balneolales,629
Blastocatellales,1354
Oscillospirales,39869
Veillonellales-Selenomonadales,14951
Spirochaetales,12751
Cyanobacteriales,13146
Propionibacteriales,65981
Micavibrionales,246
Synergistales,2610
Micromonosporales,4671
Sphingobacteriales,5318
Polyangiales,1372
Desulfitobacteriales,870
Acidithiobacillales,1821
Cytophagales,9120
Defluviicoccales,120
Legionellales,1829
Rhodothermales,4470
Desulfovibrionales,4488
Phycisphaerales,1849
Steroidobacterales,2355
Bifidobacteriales,3283
Streptosporangiales,5971
Streptomycetales,23686
Chitinophagales,11160
Nitrospirales,1531
Thiotrichales,1725
Ignavibacteriales,361
Thermales,985
Paenibacillales,8067
Sphingomonadales,16255
Microtrichales,3871
SAR11 clade,7460
Aquificales,536
Rhodospirillales,2209
Erysipelotrichales,10348
Nitrosococcales,1204
Thermoanaerobacterales,799
Fibrobacterales,699
Acidobacteriales,1814
Thermoanaerobaculales,1145
Caulobacterales,7743
Acetobacterales,5747
Desulfobacterales,7830
Syntrophales,1099
Saccharimonadales,834
Frankiales,2961
Rickettsiales,3492
Natranaerobiales,39
Bryobacterales,1599
Coriobacteriales,4321
Desulfatiglandales,1515
Solibacterales,1137
Caldilineales,451
Sulfobacillales,277
Pseudonocardiales,4012
Exiguobacterales,2175
Anaerolineales,5863
Methylococcales,1524
Ectothiorhodospirales,1197
Desulfuromonadales,696
Kiritimatiellales,339
Planctomycetales,1135
Chloroflexales,1026
Petrotogales,440
Parvibaculales,218
Myxococcales,1739
Thermacetogeniales,129
Mycoplasmatales,3795
Eubacteriales,630
Acidimicrobiales,208
Caldatribacteriales,117
Isosphaerales,784
Desulfobulbales,3194
Syntrophorhabdales,303
Desulfotomaculales,1148
Actinomarinales,1955
Dehalococcoidales,308
Gemmatimonadales,2190
Symbiobacteriales,1362
Competibacterales,308
Piscirickettsiales,288
Aneurinibacillales,301
Mesoaciditogales,31
Methylacidiphilales,240
Diplorickettsiales,667
Pseudanabaenales,229
Chromatiales,2132
Azospirillales,1181
Brevibacillales,1881
Ardenticatenales,109
Granulosicoccales,121
Monoglobales,661
Acidaminococcales,2029
Elusimicrobiales,31
Opitutales,2907
Leptospirales,2019
Nitrospinales,705
Bdellovibrionales,1204
Haliangiales,800
Entomoplasmatales,996
Coxiellales,627
Reyranellales,634
Halanaerobiales,548
Syntrophomonadales,456
Kineosporiales,320
Hydrogenothermales,443
Halothiobacillales,633
Alicyclobacillales,1149
Beggiatoales,454
Sneathiellales,80
Thiomicrospirales,673
Kiloniellales,765
Brocadiales,683
Thermotogales,330
Francisellales,678
Nitrococcales,379
Holophagales,361
Thermoactinomycetales,561
Brachyspirales,736
Abditibacteriales,240
Coprothermobacterales,379
Solirubrobacterales,755
Phormidesmiales,515
Acidiferrobacterales,292
Pyrinomonadales,1266
Kordiimonadales,204
Dongiales,481
Thalassobaculales,177
Chlorobiales,520
Thermodesulfobacteriales,153
Arenicellales,450
Sumerlaeales,614
Thermicanales,146
Geobacterales,1137
Methylomirabilales,267
Thermolithobacterales,16
Deinococcales,1660
Bacteriovoracales,755
Rubrobacterales,466
Thermosynechococcales,126
Gaiellales,385
Cloacimonadales,737
Nannocystales,217
Omnitrophales,506
Oligoflexales,272
Tistrellales,214
Desulfitibacterales,65
Salinisphaerales,487
Glycomycetales,213
Leptospirillales,677
Thermincolales,321
Caldicellulosiruptorales,648
Alphaproteobacteria Incertae Sedis,119
Latescibacterales,167
Hydrogenedentiales,102
Desulfomonilales,365
Oxyphotobacteria Incertae Sedis,75
Vicinamibacterales,202
Peptococcales,453
Catenulisporales,102
