Classification Level,Count
Campylobacteria,15037
Gammaproteobacteria,448956
Actinobacteria,257644
Clostridia,170544
Alphaproteobacteria,114766
Bacilli,427922
Desulfobacteria,9345
Cyanobacteriia,22406
Desulfovibrionia,4488
Bacteroidia,174052
Anaerolineae,6540
Negativicutes,16980
Spirochaetia,12751
Fusobacteriia,13446
Acidobacteriae,4550
Desulfuromonadia,1841
Coriobacteriia,4321
Planctomycetes,8770
Sumerlaeia,614
Rhodothermia,5099
Myxococcia,1739
Acidimicrobiia,6034
Verrucomicrobiae,8592
Endomicrobia,354
Bdellovibrionia,1959
Thermoleophilia,1146
Rubrobacteria,466
Thermoanaerobacteria,1447
Calditrichia,199
Cloacimonadia,737
Desulfobulbia,3194
Desulfotomaculia,1290
Ktedonobacteria,552
Halanaerobiia,548
Thermoanaerobaculia,1145
Phycisphaerae,1881
Polyangia,2389
Gemmatimonadetes,2190
Syntrophorhabdia,303
Desulfitobacteriia,870
Syntrophomonadia,456
Deferribacteres,420
Synergistia,2610
Leptospirae,2019
Leptospirillia,677
Deinococci,2645
Fibrobacteria,699
Holophagae,403
Dethiobacteria,191
Magnetococcia,273
Chloroflexia,1121
Nitrospiria,1531
Chlorobia,520
Blastocatellia,2644
Saccharimonadia,834
Syntrophia,1099
Chthonomonadetes,48
Symbiobacteriia,1362
Brocadiae,683
Sulfobacillia,277
Syntrophobacteria,283
Aquificae,979
Nitrospinia,705
Chlamydiae,1322
Hydrogenedentia,102
Ignavibacteria,361
Coprothermobacteria,379
Omnitrophia,506
Vicinamibacteria,202
Entotheonellia,89
Zetaproteobacteria,217
Desulfobaccia,107
Desulfomonilia,365
Thermotogae,976
Latescibacteria,167
Brachyspirae,736
Lentisphaeria,266
Abditibacteria,240
Chitinivibrionia,41
Desulfofervidia,25
Thermodesulfovibrionia,138
Kiritimatiellae,339
Oligoflexia,329
Natranaerobiia,39
Caldatribacteriia,117
Dissulfuribacteria,142
Moorellia,156
Thermodesulfobacteria,153
Desulfurellia,59
Longimicrobia,67
Elusimicrobia,31
Methylomirabilia,267
Dehalococcoidia,374
Defferrisomatia,32
Caldisericia,43
Armatimonadia,34
Brevinematia,26
Desulfarculia,45
Thermacetogenia,129
Vampirivibrionia,78
Desulfurobacteriia,45
Kryptonia,31
Dictyoglomia,20
