Classification Level,Count
Campylobacter jejuni,1599
Achromobacter xylosoxidans,392
Pseudomonas aeruginosa,4827
Spiroplasma endosymbiont of Drosophila hydei,38
Lactobacillus fermentum,2270
Escherichia coli,9060
Loktanella salsilacus,22
Bacillus amyloliquefaciens,2015
Staphylococcus aureus,5752
Pseudoalteromonas shioyasakiensis,72
Enterococcus faecium,3164
Aeromonas hydrophila,1101
Salmonella enterica subsp. enterica serovar Typhi,2849
Salmonella enterica subsp. enterica serovar Kentucky,62
Streptomyces puniceus,40
Bacillus koreensis,28
Aeromonas dhakensis,94
Bacillus velezensis,1436
Enterobacter cloacae,2057
Pantoea dispersa,209
Lactococcus lactis subsp. cremoris,192
Listeria monocytogenes,2756
Rhizobium tropici,123
Bacillus cereus,4594
Shewanella xiamenensis,51
Salinispora pacifica,55
Bacillus subtilis,5780
Vibrio parahaemolyticus,1339
Bacillus safensis,766
Bacillus pseudomycoides,199
Salmonella enterica subsp. enterica serovar Schwarzengrund,33
Nocardia brasiliensis,73
Streptomyces avermitilis,46
Azotobacter chroococcum,137
Ralstonia solanacearum,666
Lactobacillus helveticus,1467
Chlamydia suis,70
Pediococcus pentosaceus,640
Pantoea ananatis,307
Flavonifractor plautii,60
Acinetobacter lwoffii,321
Lactobacillus plantarum,4565
Leuconostoc citreum,260
Paenibacillus larvae,122
Pseudomonas gessardii,123
Melissococcus plutonius,54
Bacillus anthracis,999
Clostridium beijerinckii,169
Pseudoalteromonas rubra,51
Staphylococcus arlettae,122
Burkholderia pseudomallei,885
Pseudomonas oleovorans,204
Neisseria meningitidis,1882
Streptococcus pneumoniae,7825
Leptospirillum ferrooxidans,32
Delftia lacustris,39
Pseudomonas trivialis,55
Burkholderia ubonensis,321
Streptococcus equinus,216
Ureibacillus thermosphaericus,61
Bacillus sp. (in: Bacteria),4220
Arthrobacter globiformis,96
Paenibacillus alvei,53
Rothia nasimurium,35
Streptococcus salivarius subsp. thermophilus,804
Stenotrophomonas maltophilia,1515
Bacillus horikoshii,99
Bacillus thuringiensis,1590
Streptomyces phaeochromogenes,98
Lactobacillus pentosus,352
Vibrio ichthyoenteri,40
Lactobacillus brevis,841
Acinetobacter baumannii,2288
Vibrio cholerae O1,54
Rhodococcus erythropolis,307
Streptomyces fradiae,89
Haemophilus parainfluenzae,55
Nocardia seriolae,50
Aeromonas salmonicida,248
Campylobacter coli,938
Klebsiella pneumoniae,5472
Leuconostoc mesenteroides subsp. dextranicum,27
Ensifer meliloti,525
Salmonella enterica,1803
Salmonella enterica subsp. enterica serovar Saintpaul,115
Lactococcus lactis,2196
Streptomyces corchorusii,24
Staphylococcus cohnii,170
Bacillus thuringiensis serovar kurstaki,28
Laribacter hongkongensis,120
Bradyrhizobium japonicum,420
Edwardsiella ictaluri,81
Bradyrhizobium yuanmingense,184
Acidithiobacillus ferrooxidans,250
Dickeya zeae,57
Bacillus tequilensis,474
Lactobacillus paracasei,749
Streptococcus agalactiae,1548
Staphylococcus epidermidis,1086
Enterococcus lactis,148
Bacillus megaterium,1935
Candidatus Riegeria galatelae,31
Deinococcus aquaticus,26
Streptomyces flavotricini,38
[Pseudomonas] geniculata,140
Shigella flexneri,252
Lactobacillus curvatus,199
Chlamydia psittaci,83
Pseudomonas xinjiangensis,112
Enterobacter ludwigii,352
Campylobacter fetus,72
Tetragenococcus halophilus,100
Ensifer adhaerens,171
Paraburkholderia fungorum,87
Clostridioides difficile,2171
Pseudomonas yamanorum,24
Staphylococcus warneri,357
Bacillus subtilis subsp. spizizenii,77
Moraxella catarrhalis,115
Micromonospora chokoriensis,42
Staphylococcus haemolyticus,458
Lactobacillus sakei,409
Pseudomonas fulva,145
Yersinia pestis,144
Paenibacillus polymyxa,535
Pseudomonas fluorescens,1248
Salmonella enterica subsp. enterica serovar Typhimurium,671
Pseudomonas frederiksbergensis,156
Staphylococcus hominis,327
Enterobacter hormaechei subsp. oharae,87
Enterococcus faecalis,1864
Lactobacillus casei,992
Streptococcus mitis,225
Acinetobacter nosocomialis,68
Haemophilus influenzae,1044
Bacillus licheniformis,2683
Bacillus paralicheniformis,173
Pseudomonas brenneri,81
Streptomyces pseudogriseolus,32
Sorangium cellulosum,142
Shewanella marisflavi,22
Salmonella enterica subsp. enterica serovar Heidelberg,237
Geobacillus kaustophilus,68
Clavibacter michiganensis,176
Pseudomonas stutzeri,919
Pseudomonas syringae,204
Pseudomonas putida,1534
Paenibacillus kribbensis,23
Bacillus vietnamensis,84
Viridibacillus arenosi,24
Xanthomonas axonopodis pv. phaseoli,26
Lactococcus garvieae,479
Snodgrassella alvi,54
Megasphaera elsdenii,46
Streptomyces bacillaris,35
Listonella anguillarum,277
Bacillus asahii,26
Streptococcus pyogenes,790
Citrobacter koseri,130
Streptomyces rochei,124
Geobacillus thermodenitrificans,230
Pasteurella multocida,426
Neisseria gonorrhoeae,489
Salmonella enterica subsp. enterica serovar Typhimurium str. DT104,361
Bacillus atrophaeus,305
Lysinibacillus sphaericus,468
Acidithiobacillus thiooxidans,142
Ensifer fredii,141
Brenneria nigrifluens,53
Alcaligenes faecalis,450
Vibrio cholerae,811
Brachyspira intermedia,29
Shewanella putrefaciens,174
Salmonella enterica subsp. enterica serovar Typhimurium var. 5-,116
Neorhizobium galegae,76
Streptococcus gallolyticus,215
Streptococcus anginosus,416
Escherichia coli str. K-12 substr. W3110,29
Paenibacillus jamilae,44
Bacteroides ovatus,48
Candidatus Halomonas phosphatis,49
Kocuria palustris,136
Shigella sonnei,969
Proteus mirabilis,540
Acinetobacter ursingii,29
Cylindrospermopsis raciborskii,59
Bacillus pumilus,2196
Serratia grimesii,23
Delftia tsuruhatensis,107
Micrococcus endophyticus,31
Aeromonas caviae,323
Streptomyces diastaticus,30
Bacillus aryabhattai,1030
Streptococcus dysgalactiae subsp. equisimilis,167
Streptococcus suis,1474
Bacillus cytotoxicus,151
Chlamydia abortus,82
Pseudomonas orientalis,64
Streptomyces cirratus,60
Aneurinibacillus aneurinilyticus,37
Providencia rettgeri,136
Vibrio campbellii,227
Xanthomonas euvesicatoria,128
Bacillus halotolerans,379
Gordonia sputi,49
Aeromonas media,133
Nocardia farcinica,101
Desulfovibrio desulfuricans,45
Weissella thailandensis,21
Pararhizobium giardinii,40
Candidatus Sulcia muelleri,390
Aliivibrio wodanis,35
Pseudomonas alcaligenes,97
Bacillus simplex,462
Klebsiella quasipneumoniae subsp. similipneumoniae,79
Bordetella pertussis,1376
Nocardiopsis lucentensis,29
Lactobacillus salivarius,403
Cronobacter sakazakii,780
Lactobacillus lindneri,20
Bacillus firmus,468
Vibrio vulnificus,240
Pseudomonas fragi,295
Bacillus oleronius,51
Klebsiella aerogenes,301
Lactobacillus acidipiscis,45
Dickeya dianthicola,76
Vibrio alginolyticus,618
Vibrio splendidus,182
Burkholderia cepacia,452
Lactobacillus kunkeei,359
Streptomyces albidoflavus,222
Muribacter muris,106
Trueperella pyogenes,141
Dickeya dadantii,44
Serratia fonticola,83
Erwinia persicina,35
Bacteroides coprocola,22
Lactobacillus amylolyticus,24
