Classification Level,Count
Micrococcus,2520
Actinomyces,4615
Rothia,5340
Leucobacter,491
Leifsonia,279
Streptomyces,18367
Gordonia,1268
Nocardiopsis,1052
Lawsonella,4746
Crossiella,575
Saccharomonospora,264
Kocuria,2666
Dietzia,903
Sanguibacter-Flavimobilis,128
Cellulosimicrobium,310
Microbispora,187
Arthrobacter,2765
Rhodococcus,3071
Nocardia,1702
hgcI clade,1133
Acidothermus,123
Trueperella,170
Herbiconiux,47
Actinoallomurus,132
Haloactinopolyspora,136
Tetrasphaera,291
Pedococcus-Phycicoccus,86
Glutamicibacter,786
Tsukamurella,213
Dermabacter,254
Kitasatospora,401
Nocardioides,1551
Williamsia,191
Lechevalieria,133
Verrucosispora,223
Pseudonocardia,847
Gardnerella,108
Actinoplanes,283
Lapillicoccus,37
Kribbella,164
Pseudarthrobacter,1757
Aeromicrobium,208
Segniliparus,39
Clavibacter,254
Micromonospora,2208
Catenulispora,29
Oryzihumus,40
F0332,227
Thermobifida,117
Pseudoclavibacter,223
Blastococcus,220
Paenarthrobacter,630
Promicromonospora,178
Candidatus Aquiluna,364
Kytococcus,88
Mycetocola,81
Sphaerisporangium,87
Turicella,341
Janibacter,798
Varibaculum,155
Nakamurella,174
Streptosporangium,1065
Frondihabitans,41
Agromyces,367
Kibdelosporangium,35
Alloscardovia,84
Cellulomonas,375
Humibacillus,22
Modestobacter,164
Amycolatopsis,550
Lysinimonas,25
Rhodoluna,69
Demequina,71
Actinocorallia,105
Ornithinimicrobium,98
Paeniglutamicibacter,192
Actinobaculum,44
Nesterenkonia,184
Quadrisphaera,81
Actinomadura,602
Kineosporia,49
Rathayibacter,96
Tessaracoccus,231
Saccharopolyspora,235
Dermacoccus,116
Salinispora,338
Microlunatus,118
Streptomonospora,34
Actinomycetospora,56
Georgenia,97
Candidatus Ancillula,37
Aestuariimicrobium,53
Candidatus Planktophila,115
Actinopolyspora,79
Candidatus Limnoluna,95
Longimycelium,24
Nonomuraea,1160
Raineyella,29
Tropheryma,37
Ornithinicoccus,43
Lysinimicrobium,27
Prauserella,44
Candidatus Planktoluna,36
Jatrophihabitans,121
Plantactinospora,39
Streptacidiphilus,101
Geodermatophilus,90
Propioniciclava,83
Timonella,70
Mobiluncus,91
Marinilutecoccus,45
Aurantimicrobium,71
Flaviflexus,42
Propionicicella,40
Agrococcus,284
Jonesia,32
Dactylosporangium,101
Glycomyces,148
Frankia,140
Longispora,41
Friedmanniella,177
Actinospica,47
Terrabacter,71
Saccharothrix,121
Knoellia,90
Citricoccus,105
Jiangella,37
Marmoricola,162
Actinoalloteichus,37
Propionicimonas,36
Catenuloplanes,20
Scardovia,58
Sinomonas,95
Yonghaparkia,23
ML602J-51,55
Kineococcus,94
Klenkia,28
Asanoa,120
Oerskovia,62
Actinotignum,48
Plantibacter,89
Luedemannella,52
Subtercola,41
Isoptericola,134
Gryllotalpicola,28
Agreia,36
Actinophytocola,56
Angustibacter,22
Serinicoccus,39
Planotetraspora,24
Pseudoglutamicibacter,34
Marisediminicola,57
Yaniella,26
Neomicrococcus,24
Propionimicrobium,30
Actinotalea,46
Actinopolymorpha,23
Parascardovia,22
Actinokineospora,39
Cryptosporangium,21
Rhodoglobus,24
Intrasporangium,32
Zhihengliuella,27
Auritidibacter,22
Antricoccus,24
Galbitalea,45
Brooklawnia,23
