Classification Level,Count
Nocardia,451
Paenarthrobacter,162
Streptomyces,4694
Actinomyces,1155
Lawsonella,1162
Dermacoccus,21
Rothia,1301
Candidatus Limnoluna,23
Micromonospora,548
Gardnerella,26
Micrococcus,607
Sanguibacter-Flavimobilis,40
Nocardioides,387
Glutamicibacter,173
Rhodococcus,749
Gordonia,340
Kocuria,653
Nocardiopsis,260
Leifsonia,66
Streptosporangium,274
hgcI clade,271
Pseudarthrobacter,422
Tsukamurella,59
Varibaculum,43
Kribbella,50
Crossiella,138
Amycolatopsis,127
Candidatus Planktophila,30
Jatrophihabitans,28
Janibacter,200
Salinispora,108
Verrucosispora,55
Pseudoclavibacter,48
Saccharomonospora,76
Kitasatospora,94
Arthrobacter,672
Nonomuraea,276
Candidatus Aquiluna,89
Tetrasphaera,78
Thermobifida,25
Nakamurella,41
Pseudonocardia,197
Marmoricola,40
Turicella,103
Microlunatus,31
Agromyces,99
F0332,52
Citricoccus,25
Streptacidiphilus,24
Quadrisphaera,22
Haloactinopolyspora,31
Demequina,20
Rhodoluna,21
Rathayibacter,25
Frankia,37
Actinomadura,154
Aeromicrobium,59
Promicromonospora,45
Actinocorallia,25
Agrococcus,75
Saccharopolyspora,64
Propioniciclava,22
Tessaracoccus,63
Trueperella,43
Isoptericola,36
Timonella,21
Friedmanniella,47
Aurantimicrobium,26
Glycomyces,45
Alloscardovia,27
Cellulosimicrobium,79
Sphaerisporangium,21
Clavibacter,60
Dietzia,238
Leucobacter,102
Geodermatophilus,21
Dermabacter,61
Lechevalieria,33
Actinoplanes,73
Acidothermus,31
Cellulomonas,80
Saccharothrix,28
Nesterenkonia,57
Modestobacter,37
Williamsia,42
Paeniglutamicibacter,50
Microbispora,34
Sinomonas,22
Mobiluncus,25
Dactylosporangium,25
Actinopolyspora,24
Asanoa,30
Plantibacter,24
Actinoallomurus,25
Blastococcus,43
Kineococcus,23
Knoellia,27
