Classification Level,Count
Crossiella,141
Lawsonella,1178
Streptosporangium,258
Rothia,1334
Pseudonocardia,208
Salinispora,81
Knoellia,28
Nocardia,431
Leifsonia,76
Streptomyces,4642
Dietzia,211
Verrucosispora,54
Rhodococcus,782
hgcI clade,266
Glutamicibacter,194
Paenarthrobacter,142
Microbispora,38
Micrococcus,624
Arthrobacter,652
Gordonia,331
Pseudarthrobacter,496
Micromonospora,531
Haloactinopolyspora,38
Actinomyces,1155
Nonomuraea,277
Gardnerella,30
Dermabacter,73
Actinocorallia,22
Janibacter,181
Nocardioides,409
Saccharomonospora,64
Nocardiopsis,259
Tessaracoccus,70
Lechevalieria,35
Actinoplanes,70
Actinomadura,153
Varibaculum,29
Williamsia,34
Candidatus Aquiluna,92
Kocuria,695
Turicella,74
Tsukamurella,57
Cellulomonas,92
Saccharopolyspora,61
Isoptericola,27
Cellulosimicrobium,78
Streptacidiphilus,31
Leucobacter,118
Rathayibacter,27
Terrabacter,21
Jatrophihabitans,30
Kitasatospora,100
Timonella,24
Agrococcus,69
Aeromicrobium,57
Agromyces,96
Kribbella,45
F0332,45
Propioniciclava,25
Amycolatopsis,140
Actinopolyspora,23
Trueperella,40
Glycomyces,45
Friedmanniella,42
Clavibacter,82
Nakamurella,44
Saccharothrix,32
Nesterenkonia,37
Frankia,43
Marmoricola,44
Candidatus Planktophila,33
Modestobacter,40
Quadrisphaera,21
Promicromonospora,35
Citricoccus,37
Blastococcus,57
Sanguibacter-Flavimobilis,28
Thermobifida,27
Pseudoclavibacter,54
Dermacoccus,21
Tetrasphaera,71
Alloscardovia,23
Mobiluncus,22
Microlunatus,32
Mycetocola,30
Demequina,23
Plantibacter,23
Acidothermus,32
Geodermatophilus,21
Paeniglutamicibacter,50
Dactylosporangium,21
Candidatus Limnoluna,21
Actinoallomurus,31
Georgenia,23
Kineococcus,26
