Classification Level,Count
Micrococcus luteus,93
Rhodococcus hoagii,30
Nocardia cyriacigeorgica,39
Lysinimonas sp. LM-2018,24
Nocardiopsis alba,23
Streptomyces microflavus,29
Kocuria rosea,31
Streptomyces variabilis,25
Streptomyces griseus,55
Streptomyces avidinii,20
Kocuria palustris,34
Pseudarthrobacter oxydans,48
Clavibacter michiganensis,33
Streptomyces albidoflavus,39
Glutamicibacter nicotianae,22
Nocardiopsis dassonvillei,20
Trueperella pyogenes,29
Nocardia farcinica,20
Micrococcus yunnanensis,29
Streptomyces scabiei,34
Pseudarthrobacter siccitolerans,25
Rhodococcus erythropolis,57
Streptomyces rochei,25
Streptomyces mutabilis,22
