Classification Level,Count
Trueperella pyogenes,141
Streptomyces scabiei,179
Streptomyces cellulosae,31
Micrococcus yunnanensis,154
Nocardia brasiliensis,73
Nocardia cyriacigeorgica,164
Nocardia farcinica,101
Rhodococcus corynebacterioides,37
Streptomyces bottropensis,26
Kocuria polaris,29
Rhodococcus opacus,50
Arthrobacter agilis,77
Streptomyces cirratus,60
Micromonospora chaiyaphumensis,37
Rhodococcus aetherivorans,27
Streptomyces cavourensis,43
Arthrobacter alpinus,44
Cellulosimicrobium cellulans,105
Streptomyces badius,26
Gordonia sputi,49
Streptomyces fradiae,89
Streptomyces venezuelae,46
Streptomyces finlayi,42
Streptomyces avidinii,96
Streptomyces microflavus,154
Streptomyces ambofaciens,47
Cellulosimicrobium funkei,61
Arthrobacter globiformis,96
Micrococcus lylae,33
Streptomyces globisporus,72
Streptomyces hygroscopicus,90
Streptomyces mirabilis,24
Streptomyces albogriseolus,58
Micrococcus luteus,446
Lysinimonas sp. LM-2018,103
Arthrobacter oryzae,61
Streptomyces albidoflavus,219
Actinomyces radicidentis,20
Pseudarthrobacter scleromae,44
Rhodococcus hoagii,145
Nocardiopsis dassonvillei,139
Rhodococcus rhodochrous,52
Rhodococcus ruber,121
Rothia aeria,24
Streptomyces macrosporeus,23
Pseudarthrobacter oxydans,211
Janibacter melonis,29
Kocuria rosea,140
Nocardioides albus,34
Actinotignum schaalii,30
Clavibacter michiganensis,176
Streptomyces spororaveus,59
Rhodococcus erythropolis,305
Agromyces mediolanus,24
Streptomyces pactum,53
Paenarthrobacter nitroguajacolicus,107
Kocuria marina,52
Streptomyces exfoliatus,46
Streptomyces rochei,124
Paenarthrobacter aurescens,49
Nocardia transvalensis,28
Streptomyces humidus,21
Streptomyces puniceus,40
Glutamicibacter nicotianae,87
Streptomyces cinnamoneus,22
Microbispora rosea,39
Arthrobacter ramosus,40
Kocuria palustris,136
Nocardia nova,98
Arthrobacter humicola,36
Nocardia beijingensis,33
Streptomyces albus,84
Rhodococcus pyridinivorans,42
Streptomyces flavovirens,75
Gardnerella vaginalis,63
Gordonia malaquae,21
Streptomyces drozdowiczii,30
Streptomyces griseus,245
Streptomyces avermitilis,45
Streptomyces anulatus,86
Kocuria rhizophila,98
Tsukamurella tyrosinosolvens,67
Streptomyces atrovirens,27
Nocardiopsis salina,22
Streptomyces coelicoflavus,34
Agrococcus jenensis,30
Micromonospora chokoriensis,42
Streptomyces prunicolor,27
Arthrobacter pascens,91
Streptomyces phaeochromogenes,98
Streptomyces goshikiensis,40
Amycolatopsis orientalis,22
Arthrobacter woluwensis,26
Lentzea aerocolonigenes,25
Streptomyces bacillaris,35
Alloscardovia omnicolens,23
Streptomyces seoulensis,20
Streptomyces mutabilis,125
Nocardiopsis lucentensis,29
Dietzia maris,95
Actinomyces oris,40
Streptomyces griseorubens,63
Nocardia salmonicida subsp. cummidelens,26
Streptomyces vinaceus,31
Gordonia polyisoprenivorans,42
Streptomyces rimosus,46
Streptomyces canus,39
Streptomyces xantholiticus,22
Micromonospora echinospora,48
Gordonia terrae,86
Streptomyces violaceoruber,37
Salinispora arenicola,102
Pseudarthrobacter siccitolerans,94
Pseudarthrobacter defluvii,26
Streptomyces variabilis,102
Glutamicibacter arilaitensis,65
Micromonospora aurantiaca,34
Rothia dentocariosa,38
Streptomyces aurantiacus,39
Pseudarthrobacter phenanthrenivorans,52
Streptomyces turgidiscabies,58
Streptomyces pseudovenezuelae,24
Gordonia amarae,34
Streptomyces aureus,56
Glutamicibacter protophormiae,35
Cellulomonas hominis,51
Actinomyces naeslundii,51
Rothia mucilaginosa,59
Candidatus Streptomyces philanthi bv. triangulum diadema,21
Dietzia natronolimnaea,40
