Classification Level,Count
Streptomyces albogriseolus,58
Nocardia cyriacigeorgica,164
Nocardia nova,98
Kytococcus sedentarius,29
Nocardiopsis dassonvillei,139
Pseudarthrobacter sulfonivorans,60
Micrococcus yunnanensis,154
Streptomyces xantholiticus,22
Arthrobacter ramosus,40
Isoptericola variabilis,31
Streptomyces enissocaesilis,41
Gordonia sputi,49
Glutamicibacter protophormiae,35
Streptomyces venezuelae,46
Trueperella pyogenes,141
Streptomyces anulatus,86
Streptomyces acidiscabies,37
Mobiluncus curtisii,21
Streptomyces thermoviolaceus,26
Streptomyces atroolivaceus,27
Streptomyces mirabilis,24
Streptomyces platensis,49
Kocuria rosea,140
Rhodococcus erythropolis,305
Micrococcus luteus,446
Streptomyces lavendulae,70
Pseudarthrobacter defluvii,26
Streptomyces zaomyceticus,52
Streptomyces pratensis,69
Arthrobacter woluwensis,26
Rhodococcus rhodochrous,52
Streptomyces globisporus,72
Lysinimonas sp. LM-2018,103
Streptomyces avermitilis,45
Streptomyces cavourensis,43
Streptomyces cellulosae,31
Kocuria palustris,136
Streptomyces toxytricini,27
Micromonospora coxensis,59
Streptomyces hygroscopicus,90
Pseudarthrobacter oxydans,211
Streptomyces hiroshimensis,39
Thermobifida fusca,29
Glutamicibacter arilaitensis,65
Streptomyces griseorubens,63
Pseudarthrobacter phenanthrenivorans,52
Nocardia asiatica,20
Streptomyces albidoflavus,219
Streptomyces puniceus,40
Salinispora pacifica,55
Streptomyces griseus,245
Streptomyces virginiae,39
Nocardia beijingensis,33
Dietzia maris,95
Kocuria polaris,29
Pseudarthrobacter scleromae,44
Nocardiopsis lucentensis,29
Streptomyces exfoliatus,46
Rothia mucilaginosa,59
Streptomyces antibioticus,31
Sinomonas atrocyanea,26
Arthrobacter oryzae,61
Actinotignum schaalii,30
Streptomyces parvus,36
Rhodococcus hoagii,145
Saccharomonospora xinjiangensis,30
Nocardia carnea,29
Streptomyces variabilis,102
Gordonia alkanivorans,27
Streptomyces rishiriensis,23
Nocardiopsis aegyptia,26
Streptomyces scabiei,179
Gordonia malaquae,21
Amycolatopsis coloradensis,36
Streptomyces cirratus,60
Streptomyces flavovirens,75
Gordonia amarae,34
Streptomyces prunicolor,27
Gordonia polyisoprenivorans,42
Rhodococcus pyridinivorans,42
Arthrobacter humicola,36
Nocardioides albus,34
Micrococcus endophyticus,30
Nocardia farcinica,101
Kocuria marina,52
Streptomyces parvulus,43
Embleya scabrispora,22
Streptomyces albus,84
Arthrobacter globiformis,96
Streptomyces aureus,56
Streptomyces rubrolavendulae,20
Leifsonia xyli,24
Rhodococcus fascians,65
Rhodococcus qingshengii,92
Streptomyces microflavus,154
Nocardia salmonicida subsp. cummidelens,26
