Classification Level,Count
Streptomyces,4604
Pseudarthrobacter,448
Rothia,1343
Cellulomonas,89
Candidatus Limnoluna,29
Pseudonocardia,223
Glutamicibacter,186
Lawsonella,1183
Paenarthrobacter,155
Arthrobacter,711
Jatrophihabitans,31
Kitasatospora,95
Kocuria,671
Nesterenkonia,43
Actinomyces,1094
Micromonospora,570
hgcI clade,306
Kytococcus,27
Aeromicrobium,49
Streptosporangium,253
Agromyces,82
Rhodococcus,769
Nocardia,424
Salinispora,97
Agrococcus,71
Nocardioides,386
Pedococcus-Phycicoccus,23
Nonomuraea,271
Crossiella,151
Gordonia,329
Actinocorallia,33
Saccharopolyspora,56
Actinoplanes,81
Clavibacter,73
Janibacter,204
Dietzia,229
Verrucosispora,65
Micrococcus,634
Geodermatophilus,30
Actinopolyspora,21
Candidatus Aquiluna,111
Sphaerisporangium,26
Leucobacter,123
Nocardiopsis,251
Promicromonospora,56
Dermabacter,61
Actinomadura,157
Modestobacter,33
Tetrasphaera,83
Saccharomonospora,67
Georgenia,21
Candidatus Planktophila,32
Thermobifida,32
Sinomonas,23
Varibaculum,31
Leifsonia,71
Trueperella,35
Microbispora,37
Paeniglutamicibacter,46
Tessaracoccus,62
Nakamurella,45
Microlunatus,28
Frankia,31
Pseudoclavibacter,58
Amycolatopsis,126
Friedmanniella,43
Marmoricola,38
Knoellia,34
Saccharothrix,36
Tsukamurella,46
Plantibacter,21
Cellulosimicrobium,82
Haloactinopolyspora,27
Quadrisphaera,27
Acidothermus,39
Blastococcus,47
Turicella,83
Rathayibacter,28
Actinoallomurus,27
Kribbella,42
F0332,41
Lechevalieria,43
Citricoccus,30
Asanoa,35
Sanguibacter-Flavimobilis,29
Williamsia,54
Mycetocola,20
Glycomyces,42
Isoptericola,36
Kineococcus,20
Ornithinimicrobium,23
Dactylosporangium,22
Timonella,20
Dermacoccus,29
