Classification Level,Count
Micromonospora chokoriensis,42
Aeromonas hydrophila,1101
Pseudomonas fluorescens,1248
Bacillus thuringiensis,1590
Pseudomonas putida,1534
Vibrio alginolyticus,618
Escherichia coli,9060
Lactobacillus plantarum,4565
Bradyrhizobium japonicum,420
Acinetobacter baumannii,2288
Vibrio parahaemolyticus,1339
[Clostridium] algidixylanolyticum,29
Lactococcus lactis,2196
Yersinia pseudotuberculosis,123
Pantoea brenneri,20
Pseudomonas aeruginosa,4827
Salmonella enterica subsp. enterica serovar Infantis,108
Kluyvera intermedia,57
Bacillus fumarioli,16
Prevotella melaninogenica,36
Paenarthrobacter nicotinovorans,75
Cupriavidus taiwanensis,71
Bacillus velezensis,1436
Microbispora rosea,39
Streptococcus agalactiae,1548
Bacillus amyloliquefaciens,2015
Streptococcus pneumoniae,7825
Hormoscilla spongeliae,21
Lactobacillus spicheri,21
Enterobacter asburiae,359
Pseudomonas cichorii,69
Leptospira interrogans serovar Canicola,12
Vagococcus fluvialis,41
Brucella melitensis,621
Nocardioides albus,34
Pantoea agglomerans,782
Enterococcus durans,1279
Staphylococcus caprae,53
Streptococcus anginosus,416
Streptomyces pratensis,69
Paenibacillus thiaminolyticus,21
Enterococcus avium,108
Klebsiella aerogenes,301
Gordonia sputi,49
Streptomyces violascens,30
Bacillus cereus,4594
Bacillus subtilis,5780
Lactobacillus buchneri,183
Pandoraea norimbergensis,12
Streptobacillus moniliformis,69
Streptomyces thinghirensis,11
Bacillus megaterium,1935
Lactobacillus fermentum,2270
Lactobacillus casei,992
Pseudarthrobacter oxydans,211
Elizabethkingia meningoseptica,112
Staphylococcus saprophyticus,459
Enterobacter cloacae subsp. dissolvens,55
Citrobacter freundii,718
Salmonella enterica subsp. enterica serovar Typhi,2849
Streptococcus salivarius subsp. thermophilus,804
Brochothrix thermosphacta,80
Enterococcus faecium,3164
Nocardia carnea,29
Bacillus mycoides,498
Xenorhabdus nematophila,54
Verminephrobacter eiseniae,54
Bacillus cytotoxicus,151
Clostridium perfringens,322
Lactobacillus rhamnosus,444
Bacillus endophyticus,202
Chlamydia trachomatis,190
Haemophilus influenzae,1044
Streptomyces griseus,246
Burkholderia thailandensis,64
Bradyrhizobium liaoningense,52
Salmonella enterica,1803
Stenotrophomonas maltophilia,1515
Massilia eurypsychrophila,97
Bacillus pumilus,2196
Ensifer meliloti,525
Klebsiella pneumoniae,5472
Leuconostoc citreum,260
Limnobacter thiooxidans,20
Staphylococcus aureus,5752
Vibrio owensii,167
Brenneria nigrifluens,53
Bacillus marisflavi,167
Shigella dysenteriae 1617,13
Brachyspira hyodysenteriae,66
Salmonella enterica subsp. enterica serovar Paratyphi A,643
Pseudomonas stutzeri,919
Bacillus niacini,95
Pontibacillus salipaludis,15
Bacillus anthracis,999
Lactobacillus brevis,841
Cobetia marina,68
Clostridioides difficile,2171
Campylobacter fetus,72
Enterococcus faecalis,1864
Serratia grimesii,23
Candidatus Phytoplasma fraxini,30
Salmonella enterica subsp. enterica serovar Enteritidis,733
Bacillus tequilensis,474
Bacillus sp. (in: Bacteria),4220
Candidatus Hodgkinia cicadicola,285
Peptoniphilus harei,11
Staphylococcus simulans,93
Kocuria palustris,136
Shigella sonnei,969
Weissella viridescens,63
Campylobacter jejuni,1599
Bordetella pertussis,1376
Ensifer medicae,188
Legionella pneumophila,724
Streptococcus pseudoporcinus,39
Selenomonas flueggei,10
Pseudomonas frederiksbergensis,156
Dietzia maris,95
Moraxella osloensis,95
Arthrobacter agilis,78
Paracoccus yeei,42
Rhodococcus fascians,65
Yersinia pestis,144
Xenorhabdus doucetiae,11
Listeria monocytogenes,2756
Candidatus Phytoplasma pruni,88
Faecalicatena fissicatena,13
Lactobacillus helveticus,1467
Streptococcus dysgalactiae,136
Streptomyces scabiei,179
Salmonella enterica subsp. enterica serovar Cerro,26
Leuconostoc mesenteroides,1170
Neisseria sicca,26
Pseudomonas resinovorans,37
Anoxybacillus gonensis,29
Bacillus thermoamylovorans,71
Raoultella ornithinolytica 2-156-04_S1_C1,10
Bacillus licheniformis,2683
Bacillus flexus,481
Enterobacter ludwigii,352
Streptococcus pyogenes,790
Pediococcus pentosaceus,640
Pantoea endophytica,10
Bacillus badius,64
Helicobacter pylori,428
Stenotrophomonas koreensis,10
Thermoanaerobacter uzonensis,213
Burkholderia seminalis,24
Paenibacillus polymyxa,535
Edwardsiella tarda,195
Streptomyces qinglanensis,12
Aeromonas veronii,650
Aeromonas popoffii,44
Neisseria meningitidis,1882
Cronobacter sakazakii,780
Micrococcus luteus,451
Streptococcus suis,1474
Morganella morganii,258
Bacillus thuringiensis serovar kurstaki str. YBT-1520,28
Bacillus oceanisediminis,136
Nocardiopsis alba,118
Komagataeibacter europaeus,60
Paracoccus aminovorans,11
Serratia proteamaculans,94
Brevundimonas bullata,38
Pantoea vagans,156
Sorangium cellulosum,142
Streptomyces sporoverrucosus,13
Bacillus circulans,184
Rodentibacter ratti,14
[Haemophilus] ducreyi,88
Burkholderia pseudomallei,885
Shigella flexneri,252
Staphylococcus epidermidis,1086
Pluralibacter gergoviae,33
Bacillus cereus Q1,13
Stenoxybacter acetivorans,11
Enterococcus gallinarum,132
Vibrio harveyi,495
Shigella dysenteriae,213
Nesterenkonia aethiopica,16
Enterobacter cloacae,2057
Streptomyces lavendulae,70
Shigella boydii,217
Bacillus stratosphericus,200
Campylobacter coli,938
Micromonospora aurantiaca,34
Lactobacillus gasseri,123
Vibrio splendidus,182
Halomonas saccharevitans,11
Lactobacillus sakei,409
Sphingomonas dokdonensis,16
Bacillus subtilis BSn5,10
Vibrio vulnificus NBRC 15645 = ATCC 27562,13
Bacillus aryabhattai,1030
Lactobacillus ghanensis,10
Glaesserella parasuis,291
Oceanobacillus iheyensis,47
Pseudomonas syringae pv. actinidiae,139
Aeromonas allosaccharophila,47
Paenibacillus larvae,122
Lactobacillus paracasei,749
Alteromonas marina,21
Planktothrix agardhii,14
Nocardiopsis dassonvillei,139
Prevotella ruminicola,48
Lactobacillus johnsonii,181
Halomonas variabilis,28
Klebsiella oxytoca,580
Muribacter muris,106
Edwardsiella piscicida,31
Streptococcus oralis subsp. dentisani,12
Pseudomonas cedrina,50
Rhizobium alamii,19
Paenibacillus chitinolyticus,16
Corallococcus exiguus,86
Paenibacillus barengoltzii,35
Staphylococcus hominis,327
Lactobacillus kefiri,135
Prosthecochloris aestuarii,13
Cellulomonas hominis,52
Candidatus Methylopumilus planktonicus,109
Clostridium butyricum,190
Yersinia pestis A1122,12
Salmonella enterica subsp. enterica serovar Typhimurium str. DT104,361
Lactobacillus salivarius,403
Bacillus sonorensis,186
Campylobacter rectus,24
Acinetobacter nectaris,18
Lysinibacillus xylanilyticus,119
Serratia ureilytica,28
Staphylococcus capitis,128
Asaia siamensis,17
Streptococcus australis,16
Neisseria gonorrhoeae,489
Candidatus Phytoplasma phoenicium,111
Alteromonas macleodii,163
Rhodococcus rhodochrous,52
Vibrio cholerae,811
Salmonella enterica subsp. enterica serovar Dublin,97
Rahnella aquatilis,210
Treponema putidum,17
Leuconostoc carnosum,13
Xanthomonas euvesicatoria,128
Vibrio gigantis,61
Burkholderia ubonensis,321
Flexithrix dorotheae,16
Halomonas pacifica,19
Vibrio mediterranei,132
Pseudomonas fragi,295
Enterobacter hormaechei subsp. hoffmannii,16
Salmonella enterica subsp. enterica serovar Typhimurium,671
Polynucleobacter cosmopolitanus,215
Streptococcus salivarius,198
Salmonella enterica subsp. enterica serovar Tennessee,109
Staphylococcus argenteus,110
Arthrobacter oryzae,61
Bacillus niabensis,66
Streptococcus equinus,216
Enterobacter soli,24
Pseudomonas syringae pv. syringae,84
Erwinia amylovora,92
