Classification Level,Count
Leucobacter,128
Streptomyces,4513
Kocuria,693
Nocardia,427
Actinomyces,1143
Rothia,1360
Rhodococcus,773
Lawsonella,1138
Gordonia,308
Janibacter,210
Arthrobacter,693
Glutamicibacter,187
Pseudonocardia,224
Streptosporangium,250
Micrococcus,622
Actinomadura,150
Nonomuraea,278
Paenarthrobacter,177
hgcI clade,289
Nocardiopsis,281
Crossiella,152
Dietzia,237
Pseudarthrobacter,462
Nocardioides,382
Micromonospora,530
Kitasatospora,105
Amycolatopsis,133
Turicella,101
