Classification Level,Count
Actinomyces,1143
Arthrobacter,690
Streptomyces,4702
Kocuria,693
Streptosporangium,291
Pseudonocardia,204
Dermabacter,67
Nonomuraea,282
Dietzia,236
Lawsonella,1133
hgcI clade,295
Kitasatospora,91
Rothia,1308
Glutamicibacter,179
Rhodococcus,820
Leucobacter,131
Paenarthrobacter,143
Haloactinopolyspora,32
Kineococcus,26
Cellulomonas,108
Janibacter,207
Pseudarthrobacter,439
Saccharopolyspora,56
Nocardioides,349
Turicella,81
Verrucosispora,57
Nakamurella,42
Friedmanniella,40
Sphaerisporangium,23
Micromonospora,530
Salinispora,74
Nocardia,430
Crossiella,152
Dactylosporangium,22
Ornithinimicrobium,22
Amycolatopsis,132
Actinoplanes,78
Micrococcus,621
Actinomadura,156
Rathayibacter,31
Agrococcus,57
Terrabacter,27
Marmoricola,40
Paeniglutamicibacter,51
Aeromicrobium,47
Kribbella,51
Gordonia,321
Nesterenkonia,54
Pseudoclavibacter,44
Acidothermus,42
Tessaracoccus,72
Mobiluncus,22
F0332,51
Nocardiopsis,240
Blastococcus,48
Dermacoccus,28
Glycomyces,43
Cellulosimicrobium,70
Tetrasphaera,68
Sanguibacter-Flavimobilis,35
Isoptericola,34
Modestobacter,43
Thermobifida,26
Williamsia,49
Microlunatus,34
Microbispora,39
Lechevalieria,32
Propioniciclava,23
Citricoccus,27
Candidatus Planktophila,30
Kytococcus,32
Asanoa,28
Clavibacter,61
Trueperella,47
Leifsonia,78
Tsukamurella,49
Jatrophihabitans,36
Promicromonospora,35
Saccharomonospora,64
Timonella,20
Varibaculum,39
Candidatus Aquiluna,99
Actinocorallia,21
Frankia,39
Agromyces,90
Geodermatophilus,23
Plantibacter,24
Streptacidiphilus,25
Georgenia,21
Actinoallomurus,25
Gardnerella,28
Sinomonas,21
