Classification Level,Count
Prevotellaceae,24507
Akkermansiaceae,2135
Staphylococcaceae,142438
Rhizobiaceae,23127
Saprospiraceae,5280
Pectobacteriaceae,2047
Nitrosococcaceae,560
Clostridiaceae,13784
Flavobacteriaceae,21698
Enterococcaceae,15825
Dermatophilaceae,100
Lactobacillaceae,40576
Actinomycetaceae,6931
Selenomonadaceae,3148
Microbacteriaceae,12920
Desulfocapsaceae,2271
Nitrincolaceae,1226
Corynebacteriaceae,74331
Moraxellaceae,37924
Enterobacteriaceae,83741
Desulfohalobiaceae,953
Lachnospiraceae,81830
Rhodobacteraceae,21199
Weeksellaceae,14473
Microtrichaceae,2200
Propionibacteriaceae,62769
Micrococcaceae,21494
Mycoplasmataceae,3795
Marinilabiliaceae,2996
Pseudomonadaceae,54440
Oxobacteraceae,83
Hymenobacteraceae,2075
Morganellaceae,6107
Cyclobacteriaceae,2297
Comamonadaceae,40780
Bacillaceae,80911
Halomonadaceae,7243
Prolixibacteraceae,16664
Alteromonadaceae,3773
Desulfococcaceae,3829
Streptococcaceae,80184
Idiomarinaceae,1032
Sphingomonadaceae,16255
Clade I,7460
Pasteurellaceae,18965
Ruminococcaceae,23294
Coriobacteriaceae,1717
Nocardiopsaceae,1522
Family XI,12802
Streptomycetaceae,23686
Nitrosomonadaceae,2582
Trueperaceae,551
Reyranellaceae,634
Peptostreptococcaceae,10012
Rickettsiaceae,941
Sumerlaeaceae,614
Smithellaceae,302
Acetobacteraceae,5739
Coprothermobacteraceae,379
Dongiaceae,481
Oxalobacteraceae,10059
Bacteroidaceae,38678
Fusobacteriaceae,10389
Veillonellaceae,11073
Bifidobacteriaceae,3283
Streptosporangiaceae,3292
Oscillospiraceae,10941
Anaplasmataceae,2428
Sphingobacteriaceae,4473
Acidithiobacillaceae,1821
Porticoccaceae,875
Erwiniaceae,7192
Erysipelotrichaceae,6831
Carnobacteriaceae,9800
Mariprofundaceae,217
Desulfosarcinaceae,2939
Blastocatellaceae,1354
Xanthomonadaceae,13955
Gemmatimonadaceae,2190
Campylobacteraceae,5045
Burkholderiaceae,24762
Spiroplasmataceae,468
Planococcaceae,7361
Cyanobiaceae,5317
Rikenellaceae,8771
Nitrospiraceae,1531
Xanthobacteraceae,8828
Mycobacteriaceae,13282
Desulfitobacteriaceae,614
Chitinophagaceae,5880
Paracaedibacteraceae,254
Gemellaceae,6319
Erysipelatoclostridiaceae,3517
Spirochaetaceae,12751
Legionellaceae,1829
Sutterellaceae,2415
Butyricicoccaceae,837
Neisseriaceae,17132
Vibrionaceae,16274
Hyphomicrobiaceae,1691
Colwelliaceae,1129
Iamiaceae,365
Christensenellaceae,4827
Shewanellaceae,3122
Dietziaceae,1144
Endozoicomonadaceae,1457
Aerococcaceae,5134
Sulfuricellaceae,488
Rhodanobacteraceae,2488
Anaerolineaceae,5863
Acholeplasmataceae,4769
Arcobacteraceae,2293
Rhizobiales Incertae Sedis,1690
Magnetospiraceae,718
Coleofasciculaceae,4435
Hyphomonadaceae,2515
Halieaceae,1508
Rhodocyclaceae,6661
Deinococcaceae,1109
Pseudoalteromonadaceae,5471
Alcaligenaceae,8135
Calditrichaceae,199
Desulfovibrionaceae,3029
Beijerinckiaceae,6190
Cryomorphaceae,1556
Dermabacteraceae,1234
Nocardiaceae,7817
Porphyromonadaceae,5320
Leptotrichiaceae,3057
Woeseiaceae,1116
Steroidobacteraceae,1239
Aeromonadaceae,7419
Blattabacteriaceae,900
Chromatiaceae,1507
Methylophagaceae,644
Thiotrichaceae,1725
Pirellulaceae,5701
Thioglobaceae,2954
Desulfarculaceae,45
Marinobacteraceae,2651
Bdellovibrionaceae,1204
Phycisphaeraceae,1849
Chlorobiaceae,489
Methylophilaceae,2347
Paenibacillaceae,8067
Solirubrobacteraceae,755
Pyrinomonadaceae,1266
Chthoniobacteraceae,1170
Caldicellulosiraptoraceae,648
Nodosilineaceae,354
Hydrogenothermaceae,443
Listeriaceae,3831
Demequinaceae,143
Nocardioidaceae,3212
Eubacteriaceae,524
Salinivirgaceae,1221
Intrasporangiaceae,2197
Caulobacteraceae,5039
Promicromonosporaceae,858
Thermaceae,985
Leptolyngbyaceae,2720
Atopobiaceae,1211
Chroococcidiopsaceae,555
Yersiniaceae,13413
Micromonosporaceae,4671
Rubinisphaeraceae,763
Halanaerobiaceae,437
Leptospirillaceae,677
Alicyclobacillaceae,1149
Ilumatobacteraceae,1306
Leptospiraceae,2019
Rhodothermaceae,4470
Acidobacteriaceae (Subgroup 1),1627
Hungateiclostridiaceae,4639
Microcystaceae,1081
Syntrophaceae,797
Thiomicrospiraceae,673
Exiguobacteraceae,2175
Sulfurovaceae,2861
Tannerellaceae,3838
Pseudonocardiaceae,4012
Arenicellaceae,450
Devosiaceae,1481
Entomoplasmataceae,287
Halothiobacillaceae,492
Haliangiaceae,800
Marinococcaceae,241
Azospirillaceae,965
Microbulbiferaceae,289
Phormidesmiaceae,161
Cloacimonadaceae,737
Ferrovaceae,134
Synergistaceae,2610
Magnetospirillaceae,221
Myxococcaceae,1535
Tsukamurellaceae,264
Cellulomonadaceae,696
Hafniaceae,1104
Helicobacteraceae,2309
Desulfobacteraceae,936
Rhodomicrobiaceae,134
Sulfurimonadaceae,1933
Geobacteraceae,1129
Cardiobacteriaceae,1925
Isosphaeraceae,784
Crocinitomicaceae,863
Alcanivoracaceae1,1858
Acidaminococcaceae,2029
Chlamydiaceae,967
Nostocaceae,3881
Actinomarinaceae,1955
Anaerovoracaceae,2423
Thermoanaerobaculaceae,1145
Monoglobaceae,661
Acidimicrobiaceae,185
Marinomonadaceae,527
Eurycoccales Incertae Sedis,31
Succinivibrionaceae,1281
Marinifilaceae,2487
Fodinicurvataceae,166
Chloroherpetonaceae,31
Puniceicoccaceae,2100
Spirosomaceae,1524
Magnetococcaceae,273
Chloroflexaceae,675
Nannocystaceae,217
Dethiobacteraceae,191
Barnesiellaceae,1029
Saccharospirillaceae,775
Ardenticatenaceae,109
Petrotogaceae,440
Orbaceae,609
Caldicoprobacteraceae,220
Sporichthyaceae,1609
Rhodospirillaceae,525
Thalassospiraceae,522
Holosporaceae,187
Fokiniaceae,109
Pedosphaeraceae,624
Brevibacteriaceae,1936
Saccharimonadaceae,834
Geodermatophilaceae,627
Obscuribacteraceae,43
Methylomonadaceae,1116
Desulfobulbaceae,733
Syntrophomonadaceae,456
Oscillatoriaceae,206
Microscillaceae,2278
Solibacteraceae,1137
AB-539-J10,66
Sedimenticolaceae,625
Polyangiaceae,668
Sanguibacteraceae,160
Catellicoccaceae,136
Holophagaceae,361
Bryobacteraceae,1599
Micropepsaceae,302
Sandaracinaceae,551
Pseudohongiellaceae,692
Unknown Family,1779
Kangiellaceae,160
Methyloligellaceae,576
Xiphinematobacteraceae,118
Desulfomonilaceae,365
Gloeobacteraceae,45
Glycomycetaceae,213
Phormidiaceae,1264
Labraceae,125
Eggerthellaceae,1290
Symbiobacteraceae,1362
Balneolaceae,629
Pseudanabaenaceae,229
Chitinibacteraceae,157
Aquificaceae,209
Gallionellaceae,869
Fusibacteraceae,999
Paludibacteraceae,883
Lentimicrobiaceae,845
Amoebophilaceae,536
Rubritaleaceae,869
Rubidibacteraceae,572
Coxiellaceae,627
Ignavibacteriaceae,245
Diplorickettsiaceae,667
Thermomonosporaceae,1148
Latescibacteraceae,167
Frankiaceae,334
Oligoflexaceae,272
Pelotomaculaceae,236
Syntrophorhabdaceae,303
Hydrogenophilaceae,1306
Solimonadaceae,406
Brevibacillaceae,1881
Scalinduaceae,266
Dethiosulfatibacteraceae,101
Desulfonatronovibrionaceae,37
Chlamydiales Incertae Sedis,58
Chromobacteriaceae,982
Nitrococcaceae,194
Thermotaleaceae,55
Thermaerobacteraceae,18
Gemmataceae,1150
Desulfatiglandaceae,1515
Thiohalorhabdaceae,86
Peptococcaceae,453
Nautiliaceae,109
Stappiaceae,862
Sporomusaceae,730
Kiloniellaceae,599
Geothermobacteraceae,69
Kineosporiaceae,320
Desulfuromonadaceae,261
Kordiimonadaceae,166
Hydrogenobaculaceae,327
Parachlamydiaceae,155
Fibrobacteraceae,699
Desulfurivibrionaceae,190
Competibacteraceae,308
Desulfotomaculaceae,536
Thermosynechococcaceae,106
Heliobacteriaceae,144
Rhodobiaceae,98
Dysgonomonadaceae,1921
Desulfurellaceae,41
Sulfurospirillaceae,408
Cellvibrionaceae,732
Moritellaceae,205
Simkaniaceae,123
Terasakiellaceae,223
Omnitrophaceae,506
Bacteriovoracaceae,755
Brocadiaceae,417
Methylococcaceae,187
Rs-E47 termite group,94
Desertifilaceae,119
Halorhodospiraceae,162
Hydrogenedensaceae,102
Nitratiruptoraceae,29
Brachyspirales Incertae Sedis,52
Geitlerinemaceae,110
Roseiflexaceae,321
Desulfurisporaceae,270
Thermoanaerobacteraceae,618
Xenococcaceae,220
Caldisericaceae,43
Geminicoccaceae,142
Rubrobacteriaceae,466
Gaiellaceae,385
Sedimentibacteraceae,300
