Classification Level,Count
Escherichia-Shigella,34830
Clostridioides,2788
Candidatus Saccharimonas,230
Immundisolibacter,260
Streptococcus,75361
Aliterella,103
Anaerospora,63
Wolbachia,1244
Staphylococcus,140858
Mariprofundus,217
Klebsiella,15270
Bacillus,67032
Pir4 lineage,1541
Blautia,9896
CAG-352,261
Akkermansia,2135
Lactobacillus,11042
Sulfurimonas,1437
WCHB1-32,15528
Amylibacter,989
Neisseria,12181
Bacteroides,38678
Burkholderia-Caballeronia-Paraburkholderia,14767
Parvimonas,702
Dialister,2670
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,8200
Petrimonas,143
Intestinibacter,926
Clavibacter,323
Chryseolinea,711
Ensifer,2400
Pseudochelatococcus,205
Propionivibrio,186
UCG-002,1816
Capnocytophaga,2650
Bradyrhizobium,5359
Tepidimonas,120
Vibrio,13551
Denitratisoma,189
Pseudomonas,53933
Tenacibaculum,745
Stenotrophomonas,6771
Clostridium sensu stricto 1,9255
[Ruminococcus] gauvreauii group,777
Serratia,11040
Coleofasciculus PCC-7420,4133
Cupriavidus,1521
Azonexus,493
C39,273
Caulobacter,756
Xenorhabdus,445
Megasphaera,796
Moraxella,7160
Enterococcus,15539
SUP05 cluster,2847
Desulfovibrio,1979
Leuconostoc,3311
Limibaculum,276
Lactococcus,4773
Agathobacter,4322
Cyanobium PCC-6307,989
Levilactobacillus,1122
Streptomyces,23042
Christensenellaceae R-7 group,4544
Diaphorobacter,7183
Aliiglaciecola,32
Rothia,6607
Achromobacter,2382
Lawsonella,5886
Limosilactobacillus,4939
Lachnospiraceae NK4A136 group,9752
Candidatus Chlorothrix,495
Mycoplasma,2416
Aeromonas,7060
Sediminimonas,39
Lachnospiraceae NK3A20 group,1414
Alteromonas,2056
Tepidiphilus,58
Pseudoalteromonas,5416
Nocardiopsis,1308
Roseburia,6107
Marinobacter,2651
Candidatus Phytoplasma,4139
Rhodopseudomonas,498
NK4A214 group,1342
Roseomonas,1100
Sutterella,1323
Verminephrobacter,149
Lysobacter,1802
Bergeyella,1397
UCG-012,739
Pantoea,5444
Dorea,1830
Microbacter,38
Fusicatenibacter,1447
Thauera,966
Candidatus Solibacter,1137
Lachnospiraceae XPB1014 group,650
Proteus,1402
Salmonella,13712
Aerosphaera,20
Halomonas,5565
Hyphomonas,800
P3OB-42,526
Peptoniphilus,2576
Psychrobacter,4434
Ruegeria,690
Acidovorax,6262
Kocuria,3354
Campylobacter,5045
Prochloron P1-Palau,51
Nocardioides,1943
KCM-B-112,297
Porphyromonas,5316
Paenibacillus,7574
Janibacter,1006
Clade Ia,5887
Thalassobius,93
Bordetella,2396
Clade Ib,1064
Desulfonema,1673
Prevotella,8864
Incertae Sedis,1418
Ralstonia,3361
Lactiplantibacillus,5901
Acinetobacter,22909
Micrococcus,3137
NS2b marine group,360
Sphingopyxis,718
Franconibacter,56
Pasteurella,722
Massilia,4254
Haemophilus,9676
Nocardia,2132
Desulfosarcina,80
Trichodesmium IMS101,102
[Mycoplasma] group,181
Brucella,1588
Actinomyces,5778
Leptotrichia,2229
Gloeobacter PCC-7421,45
Borreliella,480
Alistipes,2557
Treponema,3617
Gordonia,1590
Hymenobacter,1553
Latilactobacillus,947
Syntrophorhabdus,303
Brochothrix,283
Sphingomonas,6754
Lachnoclostridium,6142
Glutamicibacter,975
Alloprevotella,3140
Acidothermus,154
Veillonella,7396
Citrobacter,3705
Listeria,3548
Rhodococcus,3824
Cellulomonas,477
Pseudobutyrivibrio,314
[Ruminococcus] gnavus group,1967
Prevotella_7,4117
Thiohalocapsa,631
Halobacteriovorax,365
Algoriphagus,357
Defluviimonas,162
Delftia,2907
Gemella,6319
Brevundimonas,3160
Granulicatella,3729
Roseivivax,992
Photorhabdus,321
Alkalicoccus,33
Anoxybacillus,5390
Shewanella,3016
Fibrobacter,443
UCG-005,2689
Cronobacter,1192
Ochrobactrum,2122
Gallionella,311
SM1A02,549
Planktomarina,1670
Salinibacter,4139
Lachnospiraceae UCG-008,766
Aerococcus,3699
Halioglobus,279
Macrococcus,460
Actinobacillus,3613
Pedobacter,1247
Candidatus Latescibacter,167
Comamonas,2650
Sarcina,800
Hassallia,222
Marvinbryantia,493
Yersinia,1827
UCG-004,652
Actinomadura,778
Candidatus Hepatoplasma,241
Arsenophonus,355
Pelomonas,593
Limnobacter,1917
Mesorhizobium,3172
IS-44,222
Sandarakinorhabdus,48
Pseudopedobacter,72
Alkalispirochaeta,222
Tardiphaga,116
Fluviicola,574
Elusimicrobium,31
Sulfobacillus,218
Odoribacter,805
Enterobacter,11048
Variovorax,1711
hgcI clade,1388
Prochlorococcus MIT9313,2237
Geobacillus,3703
Brevibacillus,1881
NS5 marine group,1303
Sulfuricurvum,448
Sulfuricella,78
Beggiatoa,110
Desulfallas-Sporotomaculum,94
Sporosarcina,905
Aggregatibacter,1335
Pelosinus,253
Sulfurifustis,211
BIyi10,115
Pusillimonas,191
Singulisphaera,153
Nostoc PCC-73102,627
Rhodoferax,1247
Candidatus Thiodiazotropha,211
Spirochaeta 2,2010
Actinocorallia,127
Solitalea,173
Cuspidothrix LMECYA 163,64
HIMB11,337
Defluviicoccus,120
Thalassospira,522
Actinospica,64
Spirochaeta,2373
Rikenellaceae RC9 gut group,3809
Fonticella,104
Shinella,323
Gallicola,123
Methylobacillus,105
Nitrosomonas,818
Ascidiaceihabitans,328
Methylotenera,452
Alsobacter,26
Caldicellulosiruptor,648
Olsenella,351
Paracoccus,2641
Actinopolymorpha,26
Scytonema UTEX 2349,82
Bdellovibrio,473
Anaerococcus,4981
Butyricicoccus,557
Desulfovermiculus,949
Filomicrobium,122
Prevotella_9,6021
Leifsonia,359
Parabacteroides,3159
Yoonia-Loktanella,434
Marine Methylotrophic Group 2,101
Selenomonas,1670
Sulfitobacter,1257
Fusibacter,999
Sulfuritalea,566
Panacagrimonas,26
Anaerovibrio,229
Ruminococcus,4772
Dokdonia,181
[Clostridium] innocuum group,389
Gemmatimonas,389
Xanthomonas,2038
Epulopiscium,1285
Profundimonas,100
Oscillibacter,1006
Novosphingobium,2228
Caenispirillum,22
Dechloromonas,808
Aestuariibacter,234
Anaerostipes,2277
Cobetia,375
Tatumella,297
Brachymonas,390
Syntrophotalea,203
Bilophila,139
Maritimimonas,487
Rhizobacter,541
Holdemanella,1082
Xanthobacter,143
Nitrospina,407
Fournierella,91
Amphiplicatus,66
Bartonella,971
Leptospira,1241
Fontimonas,49
Kyrpidia,127
Endozoicomonas,1426
Lacticaseibacillus,3189
Saccharomonospora,333
Arthrobacter,3391
Tsukamurella,264
Acetobacter,1204
Legionella,1735
Facklamia,282
Plesiomonas,504
Taylorella,124
Dietzia,1144
Chthoniobacter,482
JGI 0001001-H03,327
Candidatus Aquirestis,122
Erysipelotrichaceae UCG-003,878
Luteimonas,991
Thermomonas,560
Halarcobacter,278
Marinomonas,527
Parapedobacter,148
Salinicola,351
Colwellia,908
Polynucleobacter,1356
Micromonospora,2766
Tyzzerella,1671
Lachnospiraceae UCG-001,1367
Rathayibacter,120
Fimbriiglobus,107
Ferritrophicum,265
Polaribacter,722
Domibacillus,113
Ezakiella,520
Luteibacter,516
Kurthia,222
Inhella,49
Prevotellaceae UCG-001,750
JTB255 marine benthic group,71
Paraliobacillus,47
Novibacillus,60
Collinsella,1671
Johnsonella,148
Sumerlaea,614
Monoglobus,661
Pseudofulvibacter,831
Candidatus Limnoluna,115
Melittangium,20
Winogradskyella,267
Jeotgalicoccus,669
Candidatus Entotheonella,89
Geothermobacter,69
MSBL7,90
Thiobacillus,703
Halochromatium,354
Planctopirus,94
Ilumatobacter,296
Bosea,626
Subdoligranulum,2666
Candidatus Methylopumilus,356
Romboutsia,2143
Finegoldia,1797
Mesoplasma,90
Leucobacter,606
Sphingorhabdus,458
Halanaerobium,371
Acetitomaculum,363
Hydrogenobaculum,327
Salinivibrio,295
Zoogloea,741
Salinivirga,367
Nosocomiicoccus,128
Mucilaginibacter,848
Riemerella,222
Aliivibrio,487
Rodentibacter,427
Subgroup 23,416
Thiothrix,1034
RBG-16-49-21,666
Celeribacter,143
Fontibacillus,21
Herbaspirillum,617
Asaia,512
Apibacter,24
Streptosporangium,1344
Rahnella1,507
Megamonas,489
Azospirillum,669
Actinobaculum,56
Dethiobacter,84
Phormidium CYN64,24
Desulfotignum,111
Hydrogenophaga,1038
Acidibacter,486
Faecalibaculum,2016
Tepidimicrobium,178
Amycolatopsis,685
Pseudorhodobacter,177
Cephaloticoccus,92
MND1,485
endosymbionts,327
Rhodopirellula,919
Candidatus Desulfofervidus,25
Boseongicola,20
Pseudonocardia,1083
Candidatus Berkiella,72
Sulfurovum,2721
Atopobium,729
Pediococcus,1432
Catonella,202
Azoarcus,299
Corticibacter,135
Microcystis PCC-7914,811
Paenisporosarcina,212
Termite Treponema cluster,578
Agreia,46
Alicycliphilus,108
Mitsuaria,59
Sphingobium,2131
Clostridium sensu stricto 12,565
Desulfurivibrio,98
Leptothrix,276
Geotalea,49
Abiotrophia,764
Citreicella,57
wb1-P19,255
Coprococcus,1430
Aurantimicrobium,94
Candidatus Actinomarina,1955
Hirschia,545
Aquamicrobium,144
Lewinella,492
Thalassobacillus,105
Endomicrobium,354
Candidatus Magnetoglobus,33
Bryobacter,1599
Lentimicrobium,845
RB41,1261
Noviherbaspirillum,823
Chryseomicrobium,85
Candidatus Microthrix,901
Thermobacillus,60
Formosa,436
Anaerocolumna,100
Candidatus Aquiluna,465
Lysinibacillus,2951
Planococcus,772
Aquisphaera,68
Parasutterella,789
Blastocatella,255
Methylobacter,179
Solibacillus,487
Pigmentiphaga,86
Candidatus Accumulibacter,441
Jeotgalibaca,344
Carboxylicivirga,116
Candidatus Protochlamydia,70
Simplicispira,202
Varibaculum,199
Acidithiobacillus,1340
UCG-003,360
Arenicella,85
Anaeroplasma,138
MSBL3,153
Caldicoprobacter,220
Thermus,492
Woeseia,1045
Saccharofermentans,545
Candidatus Similichlamydia,44
Candidatus Xiphinematobacter,118
Nonomuraea,1462
Streptacidiphilus,131
Lautropia,1344
Ercella,59
Lentilactobacillus,1071
Microbispora,233
Enhydrobacter,2452
Aurantivirga,49
Otariodibacter,923
Candidatus Competibacter,251
Sideroxydans,332
Nakamurella,209
Paraclostridium,572
Dolosigranulum,3464
Crossiella,726
Eggerthella,300
Ligilactobacillus,2144
DMER64,843
Flavonifractor,502
Oceanivirga,396
Peredibacter,211
Subgroup 10,663
Dickeya,536
Helicobacter,2111
OLB12,87
Trichococcus,478
Polymorphobacter,63
Turicibacter,776
[Bacteroides] pectinophilus group,58
MM2,43
Synechococcus CC9902,1987
SEEP-SRB1,762
Alicyclobacillus,627
Lachnospira,830
Colidextribacter,970
BSV13,110
Desulfatiglans,1515
Prevotellaceae UCG-003,287
Proteiniphilum,760
Shimwellia,218
Arenimonas,448
W5053,217
Candidatus Udaeobacter,558
Paucibacter,216
Marinoscillum,298
Pseudothermotoga,60
Polaromonas,905
Silicimonas,41
Dichotomicrobium,746
V38,42
Turicella,419
Halobacillus,824
Weissella,2558
OM60(NOR5) clade,710
Fermentimonas,333
Kosakonia,969
Erwinia,880
Coxiella,627
Ellin6055,162
Pseudoruegeria,35
possible genus 04,61
Rickettsia,631
UBA1819,255
[Ruminococcus] torques group,3394
Ornithinicoccus,56
Rhodobacter,784
Roseovarius,765
Sva0081 sediment group,468
Sodalis,210
Pandoraea,272
Sulfurospirillum,408
Rubellimicrobium,166
Paraprevotella,125
Nodularia PCC-9350,177
Salicola,81
Vulgatibacter,22
Chlamydia,924
Fastidiosipila,1188
Thiohalorhabdus,57
Clostridium sensu stricto 18,754
Myroides,321
OM27 clade,729
LCP-80,235
Phaeobacter,362
Shuttleworthia,275
Mageeibacillus,65
Psychrobacillus,211
Alcaligenes,1445
Pseudarthrobacter,2203
Devosia,1133
Thermobrachium,296
Terrisporobacter,708
Oceanobacillus,800
Alloiococcus,358
Cycloclasticus,200
Salinicoccus,207
Thiovirga,115
Stigonema SAG 48.90,127
Spiroplasma,468
Clostridium sensu stricto 3,97
Phaeodactylibacter,1549
Candidatus Symbiothrix,97
Clostridium sensu stricto 11,336
Cellulosimicrobium,384
Parafilimonas,28
Sedimentibacter,300
Ruminiclostridium,376
Prosthecobacter,113
Paraglaciecola,247
Robiginitalea,137
C1-B045,379
Dechlorosoma,41
Marinifilum,1305
Aphanizomenon NIES81,315
Paludibacter,355
Gelidibacter,31
Negativibacillus,211
Roseobacter clade NAC11-7 lineage,202
Kluyvera,449
Blastomonas,225
Dactylococcopsis PCC-8305,550
Desulforhopalus,712
Saccharospirillum,29
Leptospirillum,677
Terriglobus,91
Sphaerotilus,242
Komagataeibacter,630
Dyella,317
Barnesiella,750
Steroidobacter,883
Candidatus Stoquefichus,147
Neptuniibacter,90
Syner-01,76
Roseiflexus,121
Alysiella,43
Erythrobacter,1067
Histophilus,168
F0058,176
Psychromonas,173
Thermotoga,63
Alishewanella,101
Brenneria,169
Alcanivorax,1858
Alkalimonas,28
Ferruginibacter,831
marine group,87
OM43 clade,782
Tropicimonas,267
Tateyamaria,150
Aeromicrobium,265
Succinivibrio,776
Pseudarcicella,264
Cellvibrio,349
Dolichospermum NIES41,373
Salinispora,436
Limnohabitans,1311
Peptoclostridium,738
Tannerella,366
[Agitococcus] lubricus group,232
Acholeplasma,473
Puia,151
Spirulina CCC Snake P-Y-85,103
Ohtaekwangia,172
Dechlorobacter,56
Fictibacillus,521
Kitasatospora,507
Lachnoanaerobaculum,400
Corallococcus,240
Sorangium,250
Ottowia,285
Syntrophus,797
Defluviitoga,260
Deinococcus,1075
Paeniclostridium,831
Granulicella,403
Dielma,121
Blastopirellula,614
Candidatus Sulcia,449
Thalassolituus,70
Marivita,125
Occallatibacter,250
GKS98 freshwater group,214
Pedomicrobium,404
Buttiauxella,259
Piscibacillus,32
Ureaplasma,1308
Pseudorhodoferax,84
Phocoenobacter,912
Rhodovulum,219
Marinococcus,111
Aliidiomarina,128
Portibacter,39
Tessaracoccus,293
Candidatus Cloacimonas,444
Prevotellaceae YAB2003 group,24
Erysipelatoclostridium,916
Acetomicrobium,111
Snodgrassella,479
A2,517
Pseudoclavibacter,276
Rhodanobacter,664
Chloroflexus,118
Gilliamella,525
Stenotrophobacter,224
Rhodoluna,84
Amylolactobacillus,24
Morganella,794
Kerstersia,131
Sva0996 marine group,929
Aurantimonas,108
Crocinitomix,183
SAR92 clade,378
Caenimonas,148
Nitrosospira,200
Acidimicrobium,24
Anaerosporobacter,157
Muricauda,281
Companilactobacillus,553
Dehalobacter,95
Nitrospira,1531
Coprothermobacter,379
Rhodoplanes,250
Methylocystis,199
Edwardsiella,493
Herbinix,77
Candidatus Blochmannia,125
Anaplasma,798
Leptolyngbya PCC-6306,86
Puniceicoccus,864
Prevotellaceae UCG-004,150
SH-PL14,181
Chitinophaga,528
Chthonomonas,48
GWE2-42-42,94
Conexibacter,220
Veillonellaceae UCG-001,75
Sellimonas,160
Clostridium sensu stricto 15,100
Skermanella,160
Marmoricola,204
Blvii28 wastewater-sludge group,132
OLB13,28
Actinophytocola,70
Hungateiclostridium,194
Haloactinopolyspora,171
Croceicoccus,41
Oceanibulbus,117
Hyphomicrobium,975
Chromatium,38
Candidatus Methylomirabilis,100
Pseudovibrio,360
Tissierella,377
Lachnospiraceae UCG-006,445
Afipia,377
Borrelia,455
possible genus 02,28
Murdochiella,190
Fischerella PCC-9339,249
Crenothrix,104
Tychonema CCAP 1459-11B,361
Desulfocapsa,387
Myxococcus,491
Lachnospiraceae UCG-004,506
Hylemonella,42
Candidatus Koribacter,187
SWB02,169
Pseudophaeobacter,194
Leptolinea,242
Haematobacter,465
NS4 marine group,619
Dermabacter,311
Z-35,72
Butyrivibrio,909
Roseimarinus,232
Family XIII AD3011 group,413
Candidatus Arthromitus,129
Paenarthrobacter,791
Collimonas,189
Sh765B-TzT-35,38
Tetrasphaera,360
Nitratireductor,477
Methylophilus,419
Candidatus Nitrotoga,114
