Classification Level,Count
Actinobacteriota,269611
Bacteroidota,180063
Firmicutes,621728
Proteobacteria,564212
Spirochaetota,15532
Acidobacteriota,8944
Desulfobacterota,21390
Campylobacterota,15096
Verrucomicrobiota,11025
Fusobacteriota,13446
Myxococcota,4128
Deinococcota,2645
Gemmatimonadota,2257
Cyanobacteria,22484
Chloroflexi,8587
Cloacimonadota,737
Nitrospirota,2346
Calditrichota,199
Planctomycetota,11334
Fibrobacterota,740
Nitrospinota,705
Aquificota,1024
Thermotogota,976
Halanaerobiaeota,548
Synergistota,2610
Sumerlaeota,614
Bdellovibrionota,2288
Coprothermobacterota,379
Patescibacteria,846
Elusimicrobiota,385
Latescibacterota,167
Deferribacterota,420
Caldatribacteriota,117
Methylomirabilota,267
Armatimonadota,91
Caldisericota,43
Entotheonellaeota,89
Hydrogenedentes,102
Abditibacteriota,240
Deferrisomatota,32
Dictyoglomota,20
