Classification Level,Count
Sphingomonadales,16255
Propionibacteriales,65981
Paenibacillales,8067
Staphylococcales,148757
Corynebacteriales,96902
Pseudomonadales,116015
Enterobacterales,173466
Rhodobacterales,21199
Campylobacterales,14928
Micromonosporales,4671
Rhizobiales,45154
Aquificales,536
Desulfobacterales,7830
Flavobacteriales,39639
Lactobacillales,155708
Bacillales,89027
Bifidobacteriales,3283
Nitrospinales,705
Oscillospirales,39869
Sphingobacteriales,5318
Erysipelotrichales,10348
Halothiobacillales,633
Coriobacteriales,4321
Lachnospirales,82131
Streptomycetales,23686
Bacteroidales,108815
Burkholderiales,119165
Dongiales,481
Micrococcales,42368
Acetobacterales,5747
Actinomycetales,6979
Xanthomonadales,16443
Desulfatiglandales,1515
Exiguobacterales,2175
Microtrichales,3871
Peptostreptococcales-Tissierellales,26931
Legionellales,1829
Desulfotomaculales,1148
Caulobacterales,7743
Rickettsiales,3492
Pseudonocardiales,4012
Spirochaetales,12751
Mycoplasmatales,3795
Brevibacillales,1881
Cyanobacteriales,13146
SAR11 clade,7460
Synechococcales,5379
Fusobacteriales,13446
Catenulisporales,102
Haliangiales,800
Acidaminococcales,2029
Peptococcales,453
Veillonellales-Selenomonadales,14951
Rubrobacterales,466
Gammaproteobacteria Incertae Sedis,1527
Aneurinibacillales,301
Clostridiales,14501
Cytophagales,9120
Brocadiales,683
Christensenellales,4827
Chitinophagales,11160
Leptospirales,2019
Cardiobacteriales,2033
Anaerolineales,5863
Pirellulales,5701
Chlamydiales,1322
Synergistales,2610
Piscirickettsiales,288
Oligosphaerales,147
Desulfitobacteriales,870
Omnitrophales,506
Desulfobulbales,3194
Acholeplasmatales,4769
Verrucomicrobiales,3386
Cloacimonadales,737
Coxiellales,627
Steroidobacterales,2355
Desulfitibacterales,65
Azospirillales,1181
Actinomarinales,1955
Chromatiales,2132
Tistrellales,214
Phycisphaerales,1849
Syntrophomonadales,456
Pseudanabaenales,229
Fibrobacterales,699
Rhodothermales,4470
Alicyclobacillales,1149
Isosphaerales,784
Entomoplasmatales,996
Rhodospirillales,2209
Thiotrichales,1725
Tenderiales,80
Polyangiales,1372
Thermoanaerobacterales,799
Opitutales,2907
Streptosporangiales,5971
Leptospirillales,677
Magnetococcales,273
Thermoanaerobaculales,1145
Ignavibacteriales,361
Elusimicrobiales,31
Acidithiobacillales,1821
Planctomycetales,1135
Leptolyngbyales,2720
Gemmatimonadales,2190
Methylococcales,1524
Kiloniellales,765
Beggiatoales,454
Oligoflexales,272
Frankiales,2961
Ectothiorhodospirales,1197
Eubacteriales,630
Thermoactinomycetales,561
Thermicanales,146
Kyrpidiales,127
Desulfurellales,59
Desulfovibrionales,4488
Thiomicrospirales,673
Puniceispirillales,87
Pyrinomonadales,1266
Chloroflexales,1026
Bdellovibrionales,1204
Solibacterales,1137
Bryobacterales,1599
Brachyspirales,736
Diplorickettsiales,667
Reyranellales,634
Calditrichales,199
Symbiobacteriales,1362
Myxococcales,1739
Solirubrobacterales,755
Caldicellulosiruptorales,648
Geobacterales,1137
Ktedonobacterales,552
Nitrospirales,1531
Endomicrobiales,354
Gaiellales,385
Hydrogenedentiales,102
Thermodesulfobacteriales,153
Desulfuromonadales,696
Francisellales,678
Sulfobacillales,277
Thalassobaculales,177
Sumerlaeales,614
Gemmatales,1150
Deinococcales,1660
Halanaerobiales,548
Thermales,985
Nitrosococcales,1204
Acidiferrobacterales,292
Acidobacteriales,1814
Kiritimatiellales,339
Micropepsales,302
Micavibrionales,246
Thermomicrobiales,59
Balneolales,629
Chlorobiales,520
Vicinamibacterales,202
Saccharimonadales,834
Thermotogales,330
