Classification Level,Count
Gammaproteobacteria,448956
Bacteroidia,174052
Clostridia,170544
Bacilli,427922
Alphaproteobacteria,114766
Leptospirillia,677
Actinobacteria,257644
Thermotogae,976
Negativicutes,16980
Desulfobacteria,9345
Verrucomicrobiae,8592
Acidimicrobiia,6034
Cyanobacteriia,22406
Endomicrobia,354
Coriobacteriia,4321
Desulfitobacteriia,870
Bdellovibrionia,1959
Synergistia,2610
Thermoanaerobacteria,1447
Aquificae,979
Campylobacteria,15037
Desulfovibrionia,4488
Fusobacteriia,13446
Thermoleophilia,1146
Gemmatimonadetes,2190
Desulfobulbia,3194
Desulfuromonadia,1841
Spirochaetia,12751
Planctomycetes,8770
Syntrophia,1099
Blastocatellia,2644
Rhodothermia,5099
Holophagae,403
Desulfotomaculia,1290
Acidobacteriae,4550
Polyangia,2389
Leptospirae,2019
Deinococci,2645
Ktedonobacteria,552
Saccharimonadia,834
Anaerolineae,6540
Rubrobacteria,466
Myxococcia,1739
Chlorobia,520
Thermoanaerobaculia,1145
Chloroflexia,1121
Halanaerobiia,548
Cloacimonadia,737
Moorellia,156
Thermodesulfobacteria,153
Latescibacteria,167
Abditibacteria,240
Chlamydiae,1322
Symbiobacteriia,1362
Fibrobacteria,699
Phycisphaerae,1881
Caldatribacteriia,117
Syntrophorhabdia,303
Lentisphaeria,266
Desulfarculia,45
Kiritimatiellae,339
Methylomirabilia,267
Syntrophomonadia,456
Desulfomonilia,365
Nitrospinia,705
Brachyspirae,736
Dehalococcoidia,374
Nitrospiria,1531
Omnitrophia,506
Chitinivibrionia,41
Deferribacteres,420
Kryptonia,31
Oligoflexia,329
Calditrichia,199
Sumerlaeia,614
Ignavibacteria,361
Coprothermobacteria,379
Thermodesulfovibrionia,138
Syntrophobacteria,283
Vampirivibrionia,78
Brocadiae,683
Desulfobaccia,107
Dethiobacteria,191
Thermacetogenia,129
Magnetococcia,273
Desulfurellia,59
Caldisericia,43
Dissulfuribacteria,142
Sulfobacillia,277
Chthonomonadetes,48
Hydrogenedentia,102
Defferrisomatia,32
Brevinematia,26
Entotheonellia,89
Desulfofervidia,25
Zetaproteobacteria,217
Vicinamibacteria,202
Thermincolia,19
Fimbriimonadia,9
Thermaerobacteria,18
Armatimonadia,34
Parcubacteria,12
Desulfurobacteriia,45
Longimicrobia,67
Natranaerobiia,39
Elusimicrobia,31
Thermosulfidibacteria,3
Chrysiogenetes,13
Dictyoglomia,20
Incertae Sedis,16
Limnochordia,12
Thermodesulfobiia,14
Babeliae,6
Moduliflexia,9
