Classification Level,Count
Alicyclobacillus acidoterrestris,144
Bacillus anthracis,999
Alcaligenes faecalis,450
Mesorhizobium septentrionale,11
Lactobacillus plantarum,4565
Acinetobacter calcoaceticus,445
Burkholderia pseudomallei,885
Bacillus pumilus,2196
Glaesserella parasuis,291
Streptococcus pneumoniae,7825
Streptomyces atroolivaceus,27
Candidatus Phytoplasma aurantifolia,207
Escherichia coli,9060
Pasteurella multocida,426
Geobacillus stearothermophilus,231
Enterococcus durans,1279
Pseudomonas protegens,168
Streptococcus dysgalactiae subsp. equisimilis,167
Halomonas salina,39
Paenibacillus larvae,122
Cronobacter muytjensii,30
Vibrio cholerae,811
Bordetella pertussis,1376
Salmonella enterica subsp. enterica serovar Typhi,2849
Enterobacter cloacae,2057
Bacillus sonorensis,186
Bacillus licheniformis,2683
Mesorhizobium alhagi,14
Candidatus Anaplasma boleense,14
Lactobacillus zymae,19
Shigella sonnei,969
Candidatus Hodgkinia cicadicola,285
Streptomyces pratensis,69
Thermoanaerobacter uzonensis,213
Bacteroides pyogenes,24
Shewanella algae,176
Klebsiella pneumoniae,5472
Bacillus cereus,4594
Pseudomonas fragi,295
Bacillus sp. (in: Bacteria),4220
Bacillus megaterium,1935
Cupriavidus taiwanensis,71
Lactobacillus fermentum,2270
Burkholderia cepacia,452
Vibrio alginolyticus,618
Escherichia coli str. K-12 substr. MG1655,87
[Ruminococcus] gnavus,30
Burkholderia gladioli,163
Nocardia ignorata,11
Clostridioides difficile,2171
Streptomyces diastaticus subsp. ardesiacus,16
Enterococcus raffinosus,25
Cronobacter sakazakii,780
Neisseria gonorrhoeae,489
Anoxybacillus flavithermus,73
Paenibacillus hunanensis,15
Enterococcus faecalis,1864
Brenneria nigrifluens,53
Salmonella enterica subsp. enterica serovar Hadar,37
Neisseria meningitidis,1882
Acinetobacter baumannii,2288
Sporolactobacillus terrae,10
Pseudomonas tolaasii,115
Bacillus thuringiensis serovar alesti,14
Pantoea vagans,156
Ensifer meliloti,525
Streptococcus mitis,225
[Enterobacter] aerogenes,118
Lactococcus garvieae,479
Leclercia adecarboxylata,109
Actinomyces oris,40
Staphylococcus carnosus,93
Bacillus circulans,184
Empedobacter falsenii genomovar 1,12
Bacillus tequilensis,474
Actinobacillus succinogenes,19
Dialister propionicifaciens,13
Bacillus halotolerans,379
Vibrio mediterranei,132
Citrobacter freundii,718
Streptomyces hiroshimensis,39
Geobacillus subterraneus,21
Micromonospora saelicesensis,25
Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842 = JCM 1002,11
Cedecea neteri,37
Streptococcus pyogenes,790
Variovorax paradoxus,172
Micromonospora chokoriensis,42
Erysipelothrix rhusiopathiae,84
Rickettsia rickettsii,16
Pseudomonas fluorescens,1248
Staphylococcus saprophyticus,459
Acidovorax citrulli,72
Bacillus amyloliquefaciens,2015
Selenomonas ruminantium,61
Rhizobium alamii,19
Salinispora pacifica,55
Salmonella enterica subsp. enterica serovar Newport,147
Salmonella enterica subsp. enterica serovar Typhimurium,671
Empedobacter falsenii genomovar 2,12
Bacillus firmus,468
Alcanivorax xenomutans,15
Lactococcus lactis,2196
Collinsella aerofaciens,256
Streptococcus gallolyticus,215
Streptococcus agalactiae,1548
Salmonella enterica subsp. enterica serovar Gallinarum/pullorum str.,19
Staphylococcus aureus,5752
Streptococcus salivarius subsp. thermophilus,804
Virgibacillus salarius,43
Rahnella aquatilis,210
Streptococcus oralis,115
Bacillus psychrosaccharolyticus,17
Enterococcus faecium C68,12
Corallococcus exiguus,86
Klebsiella oxytoca,580
Campylobacter lari,46
Lactobacillus rhamnosus,444
Gordonia malaquae,21
Burkholderia glumae,37
Salmonella enterica,1803
Lactobacillus paracasei,749
Campylobacter jejuni,1599
Haemophilus sputorum,15
Rhizobium leguminosarum,557
Streptomyces polychromogenes,18
Pseudomonas otitidis,71
Pseudomonas putida,1534
Bacillus subtilis,5780
Salmonella enterica subsp. enterica serovar Saintpaul,115
Pandoraea sputorum,23
Joostella marina,21
Aeromonas hydrophila,1101
Deinococcus apachensis,11
Bacillus thermoamylovorans,71
Pseudomonas citronellolis,66
