Classification Level,Count
Lactobacillus buchneri,33
Brevibacillus brevis,51
Streptococcus suis,302
Pseudomonas lini,16
Staphylococcus aureus,1167
Streptococcus pyogenes,161
Collinsella aerofaciens,51
Pediococcus ethanolidurans,16
Bacillus subtilis,1203
Bacillus clausii,34
Vibrio parahaemolyticus,293
Laribacter hongkongensis,25
Vibrio harveyi,96
Staphylococcus epidermidis,199
Bacillus amyloliquefaciens,396
Escherichia coli,1745
Nocardiopsis alba,23
Acinetobacter lwoffii,63
Burkholderia anthina,14
Pasteurella multocida,87
Citrobacter freundii,147
Lactococcus lactis,447
Bacillus subtilis subsp. inaquosorum,32
Bacillus megaterium,395
Bacillus pumilus,443
Pantoea agglomerans,152
Bacillus thuringiensis,307
Lactobacillus curvatus,36
Pseudomonas tolaasii,25
Paraburkholderia caribensis,12
Staphylococcus sciuri,71
Serratia marcescens,247
Shigella flexneri,63
Vibrio cholerae,159
Acinetobacter calcoaceticus,93
Lactobacillus plantarum,937
Lactobacillus oeni,10
Bacillus idriensis,14
Vibrio mediterranei,28
Bacillus sp. (in: Bacteria),871
Burkholderia cenocepacia,94
Pseudomonas rhizosphaerae,12
Clostridioides difficile,469
Myxococcus virescens,19
Streptococcus pneumoniae,1572
Enterococcus faecalis,366
Listeria monocytogenes,547
Streptococcus equinus,40
Raoultella ornithinolytica,41
Proteus mirabilis,101
Enterococcus faecium,610
Pseudomonas aeruginosa,961
Vibrio vulnificus,52
Staphylococcus saprophyticus,90
Neisseria meningitidis,373
Proteus vulgaris,32
Staphylococcus argenteus,28
Lactobacillus murinus,11
Lactobacillus kunkeei,61
Bordetella pertussis,273
Ochrobactrum intermedium,33
Salmonella enterica subsp. enterica serovar Typhi,580
Klebsiella oxytoca,123
Pseudomonas mandelii,41
Helicobacter pylori,75
Brucella melitensis,127
Cronobacter sakazakii,162
Streptomyces scabiei,48
Bacillus atrophaeus,69
Lactobacillus brevis,153
Enterobacter cloacae,421
Campylobacter jejuni,304
Yersinia pseudotuberculosis,31
Edwardsiella ictaluri,19
Vibrio fortis,10
Pseudomonas syringae,42
Klebsiella pneumoniae,1134
Streptococcus agalactiae,301
Brevibacillus agri,22
Pseudomonas stutzeri,181
Arthrobacter globiformis,16
Bacillus velezensis,262
Pantoea ananatis,53
Salmonella enterica,361
Bacillus oceanisediminis,36
Streptomyces globisporus,18
Shewanella putrefaciens,29
Streptomyces olivochromogenes,11
Bacillus cereus,893
Alcaligenes faecalis,66
Lactobacillus paracasei,139
Bacillus licheniformis,556
Lysinibacillus macroides,19
Dickeya zeae,10
Enterococcus italicus,24
Legionella pneumophila,164
Acinetobacter baumannii,469
Lactobacillus fermentum,458
Candidatus Phytoplasma pruni,20
Stenotrophomonas rhizophila,28
Lactobacillus helveticus,282
Brevundimonas diminuta,39
Elizabethkingia anophelis,28
Enterococcus durans,250
Salmonella enterica subsp. enterica serovar Infantis,23
Nocardia farcinica,22
Weissella viridescens,10
Burkholderia cepacia,107
Pseudomonas putida,296
Salmonella enterica subsp. enterica serovar Typhimurium,124
Myroides odoratimimus,14
Rhodococcus ruber,23
Kocuria rhizophila,27
Staphylococcus haemolyticus,91
Burkholderia mallei,30
Nocardiopsis dassonvillei,36
Rhodococcus erythropolis,69
Pseudarthrobacter phenanthrenivorans,13
Pannonibacter phragmitetus,11
Edwardsiella tarda,39
Providencia stuartii,17
Comamonas testosteroni,43
Streptomyces microflavus,30
Burkholderia gladioli,30
Salmonella enterica subsp. enterica serovar Typhimurium str. DT104,66
Ensifer fredii,27
Lactobacillus casei,182
Candidatus Hodgkinia cicadicola,51
Tsukamurella pulmonis,11
Lactobacillus gasseri,17
Erysipelothrix rhusiopathiae,19
Salmonella enterica subsp. enterica serovar Heidelberg,48
Streptomyces anulatus,16
Bacillus mycoides,88
Komagataeibacter hansenii,21
Lactobacillus kefiranofaciens,25
Candidatus Phytoplasma trifolii,17
Gardnerella vaginalis,10
Chlamydia trachomatis,42
Psychrobacillus psychrodurans,15
Porphyromonas levii,78
Azotobacter chroococcum,26
Streptomyces griseus,51
Pseudomonas migulae,12
Pseudomonas fragi,62
Piscirickettsia salmonis,53
Serratia plymuthica,33
Pseudarthrobacter oxydans,36
Brevibacillus thermoruber,10
Elizabethkingia meningoseptica,24
Leuconostoc mesenteroides,217
Pseudomonas rhodesiae,22
Xanthomonas citri pv. citri,21
Bacillus toyonensis,44
Bacillus aryabhattai,209
Rhizobium leguminosarum,118
Lactobacillus mucosae,12
Psychrobacter pacificensis,14
Vibrio natriegens,20
Aeromonas caviae,65
Halomonas axialensis,10
Candidatus Phytoplasma solani,22
Ralstonia solanacearum,120
Bradyrhizobium elkanii,54
Shigella sonnei,188
Pseudomonas antarctica,14
Aerococcus viridans,24
Pseudomonas psychrotolerans,24
Streptococcus salivarius subsp. thermophilus,158
Streptococcus uberis,53
Salmonella enterica subsp. enterica serovar Enteritidis,149
Campylobacter coli,180
Coconut lethal yellowing phytoplasma,20
Pseudomonas poae,41
Xylella fastidiosa,39
Bordetella bronchiseptica,10
Bacillus aerophilus,38
Acinetobacter junii,42
Lysinibacillus sphaericus,100
Brachyspira corvi,28
Cellulosimicrobium cellulans,24
Leuconostoc lactis,92
Brevibacillus laterosporus,33
Mesorhizobium huakuii,12
Bacillus simplex,98
Bradyrhizobium japonicum,91
Paenibacillus amylolyticus,21
Photorhabdus luminescens,21
Haemophilus haemolyticus,21
Salmonella enterica subsp. enterica serovar Derby,15
Bacillus safensis,152
Weissella cibaria,69
Lactobacillus pentosus,67
Burkholderia pseudomallei,195
Pseudomonas nitroreducens,18
Stenotrophomonas maltophilia,281
Halobacillus trueperi,27
Bacillus vietnamensis,19
Chlamydia suis,14
Paenibacillus polymyxa,113
Lactobacillus paraplantarum,20
Actinobaculum massiliense,10
Enterococcus mundtii,35
Macrococcus caseolyticus,22
Streptomyces flavovirens,12
