ncbi_identifier,Domain,Kingdom,Phylum,Order,Family,Genus,Species
FN667800.1.1263,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Micrococcus,Micrococcus luteus
EU570517.1.1451,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces fragilis
MF077108.1.1388,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces ipomoeae
KY858240.1.1476,Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora,Micromonospora chokoriensis
EU570546.1.1443,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces nitrosporeus
KF410347.1.1379,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Skermania,Skermania piniformis
AB046357.1.1493,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus jostii
KF179239.1.1268,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces variabilis
FJ532425.1.1439,Bacteria,Actinobacteriota,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Nocardiopsis,Nocardiopsis dassonvillei
FNKH01000002.1271042.1272569,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter crystallopoietes
KJ572996.1.1433,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces spiroverticillatus
FJ999936.1.1399,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter agilis
CP017157.326941.328475,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces lydicus
KY454547.1.1396,Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora,Micromonospora inositola
EU593741.1.1439,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces finlayi
HQ827800.1.1312,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces ochraceiscleroticus
KM978824.1.1451,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces coeruleofuscus
